Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.051018400001339614   16   1 
0.0002997000119648874   784   7 
0.00022590000298805535   1600   10 
0.00033510001958347857   6400   20 
0.0006305999995674938   40000   50 
0.0032330999965779483   78400   70 
0.005528800014872104   115600   85 
0.0012370000185910612   160000   100 
0.0016016000008676201   360000   150 
0.002061400009552017   640000   200 
0.003090800018981099   1000000   250 
0.003796099976170808   1440000   300 
0.005766799993580207   2560000   400 
0.009191299992380664   4000000   500 
0.03324119999888353   9000000   750 
0.030070999986492097   10240000   800 
0.052270299987867475   14440000   950 
0.09291700000176206   16000000   1000 
0.1419451999827288   25000000   1250 
0.16519420000258833   31360000   1400 
0.20157029997790232   36000000   1500 
0.3362007999967318   43560000   1650 
0.34860959998331964   54760000   1850 
0.39994629999273457   60840000   1950 
0.45087770000100136   64000000   2000 
0.7975187999836635   92160000   2400 
1.8376593999855686   174240000   3300 
4.393428700015647   338560000   4600 
5.678678800002672   400000000   5000 
18.352733700012323   900000000   7500 
42.97258209998836   1600000000   10000 
0.10609409998869523   16   1 
0.0003510999958962202   784   7 
0.0002570000069681555   1600   10 
0.000371300004189834   6400   20 
0.000658300006762147   40000   50 
0.0008641000022180378   78400   70 
0.0006885000038892031   115600   85 
0.0007331999950110912   160000   100 
0.0010748999775387347   360000   150 
0.0020770999835804105   640000   200 
0.0024553000112064183   1000000   250 
0.0033771000162232667   1440000   300 
0.006809599988628179   2560000   400 
0.013494699989678338   4000000   500 
0.0372753000119701   9000000   750 
0.04874160001054406   10240000   800 
0.08563760001561604   14440000   950 
0.08503509999718517   16000000   1000 
0.13986490000388585   25000000   1250 
0.18700400000670925   31360000   1400 
0.1901895000191871   36000000   1500 
0.2570875999808777   43560000   1650 
0.3583589000045322   54760000   1850 
0.421233899978688   60840000   1950 
0.4717837999924086   64000000   2000 
0.7888445999997202   92160000   2400 
1.8873987999977544   174240000   3300 
4.496523600013461   338560000   4600 
5.876111999998102   400000000   5000 
19.54564309999114   900000000   7500 
53.145846500003245   1600000000   10000 
0.08324420001008548   16   1 
0.00021040000137872994   784   7 
0.0001379000023007393   1600   10 
0.0001900999923236668   6400   20 
0.0003559000033419579   40000   50 
0.0005981000140309334   78400   70 
0.0006609999982174486   115600   85 
0.047317399992607534   160000   100 
0.002061700011836365   360000   150 
0.0019419000018388033   640000   200 
0.0030478000117000192   1000000   250 
0.0038332999974954873   1440000   300 
0.00837990001309663   2560000   400 
0.019833500002278015   4000000   500 
0.026893600006587803   9000000   750 
0.042786599980900064   10240000   800 
0.08111480000661686   14440000   950 
0.08770120001281612   16000000   1000 
0.1482545999751892   25000000   1250 
0.3072114000096917   31360000   1400 
0.4427391000208445   36000000   1500 
0.4435241000028327   43560000   1650 
0.5618536000256427   54760000   1850 
0.6499280999996699   60840000   1950 
0.6732169000024442   64000000   2000 
1.0879335000063293   92160000   2400 
2.402286099997582   174240000   3300 
4.665205600002082   338560000   4600 
5.823852499976056   400000000   5000 
18.300573300017277   900000000   7500 
43.771603900007904   1600000000   10000 
0.10713369998848066   16   1 
0.00026699999580159783   784   7 
0.0001388999808114022   1600   10 
0.00026050000451505184   6400   20 
0.00039370000013150275   40000   50 
0.0005930000043008476   78400   70 
0.0008806999830994755   115600   85 
0.0008437999931629747   160000   100 
0.0029368999821599573   360000   150 
0.0017065000138245523   640000   200 
0.002396199997747317   1000000   250 
0.00344180001411587   1440000   300 
0.00690720000420697   2560000   400 
0.011888999986695126   4000000   500 
0.041377700021257624   9000000   750 
0.03908350001438521   10240000   800 
0.07595850000507198   14440000   950 
0.08944420001353137   16000000   1000 
0.1632518000260461   25000000   1250 
0.1844818999816198   31360000   1400 
0.17660730000352487   36000000   1500 
0.26605400000698864   43560000   1650 
0.3782956999784801   54760000   1850 
0.40207129999180324   60840000   1950 
0.4790509000013117   64000000   2000 
0.7774462999950629   92160000   2400 
