Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.32069660001434386   10   1 
0.027376699988963082   490   7 
0.00029960001120343804   1000   10 
0.07051269998191856   4000   20 
0.0011900000099558383   25000   50 
0.016798900003777817   49000   70 
0.002224600000772625   72250   85 
0.0011564000160433352   100000   100 
0.0017117999959737062   225000   150 
0.0023555999796371907   400000   200 
0.0035896000044886023   625000   250 
0.0060354000015649945   900000   300 
0.009931600012350827   1600000   400 
0.057349199982127175   2500000   500 
0.03477669999119826   5625000   750 
0.04284670000197366   6400000   800 
0.10517959998105653   9025000   950 
0.1236687000200618   10000000   1000 
0.14248300000326708   15625000   1250 
0.19174670000211336   19600000   1400 
0.23013840001658536   22500000   1500 
0.29780110000865534   27225000   1650 
0.4271397999837063   34225000   1850 
0.4928605999739375   38025000   1950 
0.5785612000036053   40000000   2000 
0.9666508999944199   57600000   2400 
1.9540687999979127   108900000   3300 
4.995739800011506   211600000   4600 
7.147133599995868   250000000   5000 
20.576941799983615   562500000   7500 
52.67659070002264   1000000000   10000 
0.09832089999690652   10   1 
0.00032060002558864653   490   7 
0.0003816999960690737   1000   10 
0.0003939000016544014   4000   20 
0.0008764000085648149   25000   50 
0.0015705999976489693   49000   70 
0.0009204999951180071   72250   85 
0.0009094999986700714   100000   100 
0.0012279999791644514   225000   150 
0.002678599994396791   400000   200 
0.002153599984012544   625000   250 
0.002779800008283928   900000   300 
0.0073247000109404325   1600000   400 
0.013933700014604256   2500000   500 
0.031712800002424046   5625000   750 
0.04137799999443814   6400000   800 
0.06133960001170635   9025000   950 
0.09026599998469464   10000000   1000 
0.11888709999038838   15625000   1250 
0.1649234000069555   19600000   1400 
0.23290400000405498   22500000   1500 
0.31789750000461936   27225000   1650 
0.34339570000884123   34225000   1850 
0.4121564999804832   38025000   1950 
0.42375470002298243   40000000   2000 
0.7456193000252824   57600000   2400 
1.7711490000074264   108900000   3300 
4.2867651999986265   211600000   4600 
5.597335500002373   250000000   5000 
18.504047000024002   562500000   7500 
42.67510500000208   1000000000   10000 
0.09362130000954494   10   1 
0.00021210001432336867   490   7 
0.00015889998758211732   1000   10 
0.0004788000078406185   4000   20 
0.0006050999800208956   25000   50 
0.0007398999878205359   49000   70 
0.0007343000033870339   72250   85 
0.0007901000208221376   100000   100 
0.0013270000054035336   225000   150 
0.00196899997536093   400000   200 
0.0028680999821517617   625000   250 
0.0027762000099755824   900000   300 
0.0065457000164315104   1600000   400 
0.010353899997426197   2500000   500 
0.029277099994942546   5625000   750 
0.03520750001189299   6400000   800 
0.06486039998708293   9025000   950 
0.08450719999382272   10000000   1000 
0.13872280000941828   15625000   1250 
0.19283110002288595   19600000   1400 
0.2098812999902293   22500000   1500 
0.25272799999220297   27225000   1650 
0.3735068000096362   34225000   1850 
0.44119330000830814   38025000   1950 
0.4726817999908235   40000000   2000 
0.754715600021882   57600000   2400 
1.7763448000187054   108900000   3300 
4.338097300002119   211600000   4600 
6.115114999993239   250000000   5000 
19.45201979999547   562500000   7500 
48.026222400018014   1000000000   10000 
0.1244439999863971   10   1 
0.0002707999956328422   490   7 
0.0003071999817620963   1000   10 
0.00026020000223070383   4000   20 
0.0004302999877836555   25000   50 
0.0005973000079393387   49000   70 
0.0006510000093840063   72250   85 
0.0008376000041607767   100000   100 
0.0012783999845851213   225000   150 
0.0027572000108193606   400000   200 
0.003728500014403835   625000   250 
0.005087099998490885   900000   300 
0.010210500011453405   1600000   400 
0.016729700000723824   2500000   500 
0.03927860001567751   5625000   750 
0.04325109999626875   6400000   800 
0.06878080000751652   9025000   950 
0.09464650001609698   10000000   1000 
0.13745829998515546   15625000   1250 
0.15867259999504313   19600000   1400 
0.18705690000206232   22500000   1500 
0.2570162000192795   27225000   1650 
0.3589090000023134   34225000   1850 
0.4201773999957368   38025000   1950 
0.5183930000057444   40000000   2000 
0.7393412000092212   57600000   2400 
1.9883102999883704   108900000   3300 
5.139118599996436   211600000   4600 
8.381526299985126   250000000   5000 
18.782033900002716   562500000   7500 
40.56837899997481   1000000000   10000 
0.09834200001205318   10   1 
0.00020790001144632697   490   7 
0.0002643000043462962   1000   10 
0.0002742999931797385   4000   20 
0.00045319998753257096   25000   50 
0.0005504000000655651   49000   70 
0.0005117999971844256   72250   85 
0.0006788000173401088   100000   100 
0.0009083999902941287   225000   150 
0.0016885999939404428   400000   200 
0.001980500004719943   625000   250 
0.0027442999999038875   900000   300 
0.005392699997173622   1600000   400 
0.009218799998052418   2500000   500 
0.030836899997666478   5625000   750 
0.03848019998986274   6400000   800 
0.06401240002014674   9025000   950 
0.0585072000103537   10000000   1000 
0.10836909999488853   15625000   1250 
0.18393520000972785   19600000   1400 
0.23937959998147562   22500000   1500 
0.3008677000179887   27225000   1650 
0.34481619999860413   34225000   1850 
0.41459309999481775   38025000   1950 
0.43496939999749884   40000000   2000 
0.7822403000027407   57600000   2400 
1.718437300005462   108900000   3300 
4.156450100010261   211600000   4600 
5.345487499987939   250000000   5000 
17.41100419999566   562500000   7500 
39.93227670001215   1000000000   10000 
0.10626369999954477   10   1 
0.00032049999572336674   490   7 
0.0001858999894466251   1000   10 
0.00023670002701692283   4000   20 
0.00045870000030845404   25000   50 
0.0005043999990448356   49000   70 
0.00076299998909235   72250   85 
0.001781500002834946   100000   100 
0.0016946999821811914   225000   150 
0.002090000023599714   400000   200 
0.0027236000169068575   625000   250 
0.004176300019025803   900000   300 
0.005293499998515472   1600000   400 
0.01212550001218915   2500000   500 
0.03849819998140447   5625000   750 
0.0290439999953378   6400000   800 
0.0678514999744948   9025000   950 
0.06681739998748526   10000000   1000 
0.1195702999830246   15625000   1250 
0.18330319999950007   19600000   1400 
0.22358539997367188   22500000   1500 
0.2934266999945976   27225000   1650 
0.33277609999640845   34225000   1850 
0.3701866999908816   38025000   1950 
0.42673330000252463   40000000   2000 
0.7195741999894381   57600000   2400 
1.6862933000084013   108900000   3300 
4.216535299987299   211600000   4600 
5.35887769999681   250000000   5000 
17.341544499999145   562500000   7500 
42.28005239999038   1000000000   10000 
0.1020247999986168   10   1 
0.0004123999970033765   490   7 
0.0003649999853223562   1000   10 
0.0004154000198468566   4000   20 
0.0006169999833218753   25000   50 
0.0008035000064410269   49000   70 
0.0005828000139445066   72250   85 
0.0005731999990530312   100000   100 
0.0010547999991104007   225000   150 
0.001377099979436025   400000   200 
0.0018637000175658613   625000   250 
0.0027111000090371817   900000   300 
0.008128499990561977   1600000   400 
0.014100600004894659   2500000   500 
0.04027740002493374   5625000   750 
0.044336399994790554   6400000   800 
0.07015919999685138   9025000   950 
0.08137420000275597   10000000   1000 
0.14146339998114854   15625000   1250 
0.18434680000063963   19600000   1400 
0.22026200001710095   22500000   1500 
0.26114440002129413   27225000   1650 
0.35792140002013184   34225000   1850 
0.4345428999804426   38025000   1950 
0.4329992000130005   40000000   2000 
0.7136994000175036   57600000   2400 
1.7341436999849975   108900000   3300 
4.271388199995272   211600000   4600 
6.056010900007095   250000000   5000 
18.255677100009052   562500000   7500 
41.75889910000842   1000000000   10000 
0.0913429000065662   10   1 
0.00021810000180266798   490   7 
0.00015700000221841037   1000   10 
0.00018470000941306353   4000   20 
0.0002567000046838075   25000   50 
0.0005937999812886119   49000   70 
0.0006653000018559396   72250   85 
0.0021062000014353544   100000   100 
0.0028162999951746315   225000   150 
0.0032239000138361007   400000   200 
0.005857499985722825   625000   250 
0.003915800014510751   900000   300 
0.010506799997529015   1600000   400 
0.01302909999503754   2500000   500 
0.03504839999368414   5625000   750 
0.02903970002080314   6400000   800 
0.06344420000095852   9025000   950 
0.06396259999019094   10000000   1000 
0.1064734999963548   15625000   1250 
0.16420180001296103   19600000   1400 
0.17926710000028834   22500000   1500 
0.2854839999927208   27225000   1650 
0.3992566999804694   34225000   1850 
0.4384476999985054   38025000   1950 
0.4186011999845505   40000000   2000 
0.7425638999848161   57600000   2400 
1.7205838999943808   108900000   3300 
5.392220900015673   211600000   4600 
6.540351200004807   250000000   5000 
18.208342300000368   562500000   7500 
40.80858179999632   1000000000   10000 
0.10230369999771938   10   1 
0.0003834999806713313   490   7 
0.0003625000244937837   1000   10 
0.0002996999828610569   4000   20 
0.0006102999905124307   25000   50 
0.0007541000086348504   49000   70 
0.0007722000009380281   72250   85 
0.0007143999973777682   100000   100 
0.0011907000152859837   225000   150 
0.001987399999052286   400000   200 
0.002943200001027435   625000   250 
0.005075699998997152   900000   300 
0.008014999999431893   1600000   400 
0.010848900012206286   2500000   500 
0.03082489999360405   5625000   750 
0.0370608999801334   6400000   800 
0.06658169999718666   9025000   950 
0.07058209998649545   10000000   1000 
0.11141179999685846   15625000   1250 
0.18070180001086555   19600000   1400 
0.20907479999004863   22500000   1500 
0.2967701999878045   27225000   1650 
0.3733401000208687   34225000   1850 
0.40716569998767227   38025000   1950 
0.4126314999884926   40000000   2000 
0.7375280000269413   57600000   2400 
1.7880536000011489   108900000   3300 
4.176831000018865   211600000   4600 
5.520032200001879   250000000   5000 
18.1186669000017   562500000   7500 
40.405431100021815   1000000000   10000 
0.09417700002086349   10   1 
0.00030369998421519995   490   7 
0.00021000002743676305   1000   10 
0.0002406999992672354   4000   20 
0.0004865999799221754   25000   50 
0.000697199982823804   49000   70 
0.0006263999966904521   72250   85 
0.0007191000040620565   100000   100 
0.0011931000044569373   225000   150 
0.0017772999999579042   400000   200 
0.0018612999992910773   625000   250 
0.002786600001854822   900000   300 
0.005201199994189665   1600000   400 
0.013240800006315112   2500000   500 
0.027554100000998005   5625000   750 
0.0357676999992691   6400000   800 
0.05545040001743473   9025000   950 
0.0749923000112176   10000000   1000 
0.15014589999918826   15625000   1250 
0.18554549998953007   19600000   1400 
0.23359600000549108   22500000   1500 
0.2510586999997031   27225000   1650 
0.3641687000053935   34225000   1850 
0.4010849999904167   38025000   1950 
0.3989507000078447   40000000   2000 
0.7548299999907613   57600000   2400 
1.7795080000068992   108900000   3300 
4.311441900004866   211600000   4600 
5.473267399996985   250000000   5000 
17.470626599999378   562500000   7500 
44.67302510002628   1000000000   10000 
