Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.09102839999832213   8   1 
0.0002835000050254166   392   7 
0.00017739998293109238   800   10 
0.00043899999582208693   3200   20 
0.0008137999975588173   20000   50 
0.0011422000243328512   39200   70 
0.001052799983881414   57800   85 
0.0009116999863181263   80000   100 
0.0010144000116270036   180000   150 
0.0018048999772872776   320000   200 
0.00230690001626499   500000   250 
0.00310840000747703   720000   300 
0.014887900004396215   1280000   400 
0.010997400007909164   2000000   500 
0.028920000011567026   4500000   750 
0.03053150000050664   5120000   800 
0.04333290000795387   7220000   950 
0.046552899992093444   8000000   1000 
0.0963595999928657   12500000   1250 
0.10241010002209805   15680000   1400 
0.10049230000004172   18000000   1500 
0.1467706000257749   21780000   1650 
0.22558690002188087   27380000   1850 
0.25698930001817644   30420000   1950 
0.2653772000048775   32000000   2000 
0.4516894999833312   46080000   2400 
1.3340141999942716   87120000   3300 
4.606534999998985   169280000   4600 
5.529357999999775   200000000   5000 
17.909829899988836   450000000   7500 
41.244516000006115   800000000   10000 
0.07002849999116734   8   1 
0.00036880001425743103   392   7 
0.00022230000467970967   800   10 
0.0004529999860096723   3200   20 
0.0009079999872483313   20000   50 
0.0015710000006947666   39200   70 
0.0012416999961715192   57800   85 
0.0010084999958053231   80000   100 
0.0019016999867744744   180000   150 
0.0021259000059217215   320000   200 
0.0030187999946065247   500000   250 
0.004481199983274564   720000   300 
0.0073484999884385616   1280000   400 
0.011678300012135878   2000000   500 
0.02994500001659617   4500000   750 
0.031593199993949383   5120000   800 
0.057048399990890175   7220000   950 
0.06853850002516992   8000000   1000 
0.11324580002110451   12500000   1250 
0.14380719998735003   15680000   1400 
0.1706255999743007   18000000   1500 
0.2673474999901373   21780000   1650 
0.34483410001848824   27380000   1850 
0.3987945999833755   30420000   1950 
0.38887399999657646   32000000   2000 
0.6846999999834225   46080000   2400 
1.6856503000017256   87120000   3300 
4.323517599987099   169280000   4600 
5.2772618000162765   200000000   5000 
17.850033800001256   450000000   7500 
39.32713220000733   800000000   10000 
0.08763210001052357   8   1 
0.0006563000206369907   392   7 
0.0004031000135000795   800   10 
0.0005440999811980873   3200   20 
0.0010224999859929085   20000   50 
0.0011523000139277428   39200   70 
0.000986300001386553   57800   85 
0.0013245999871287495   80000   100 
0.0018577000009827316   180000   150 
0.002483500022208318   320000   200 
0.002529799996409565   500000   250 
0.004783799988217652   720000   300 
0.00724059998174198   1280000   400 
0.011925600003451109   2000000   500 
0.035050999984377995   4500000   750 
0.0395612999855075   5120000   800 
0.060174799989908934   7220000   950 
0.06831299999612384   8000000   1000 
0.10543979998328723   12500000   1250 
0.15408159999060445   15680000   1400 
0.1909526000090409   18000000   1500 
0.25866880000103265   21780000   1650 
0.3661666999978479   27380000   1850 
0.3986053999979049   30420000   1950 
0.39149259999976493   32000000   2000 
0.6719547000247985   46080000   2400 
1.724403700005496   87120000   3300 
4.351057699997909   169280000   4600 
5.384078600007342   200000000   5000 
17.718283399997745   450000000   7500 
39.73623670000234   800000000   10000 
0.0815535000001546   8   1 
0.0005407999851740897   392   7 
0.0006159000040497631   800   10 
0.0007530000002589077   3200   20 
0.0012986999936401844   20000   50 
0.0014057999942451715   39200   70 
0.0018053000094369054   57800   85 
0.002627800015034154   80000   100 
0.0032293000258505344   180000   150 
0.012239900010172278   320000   200 
0.003381599992280826   500000   250 
0.0047015000018291175   720000   300 
0.005878500000108033   1280000   400 
0.010127999994438142   2000000   500 
0.028016600001137704   4500000   750 
0.047386799997184426   5120000   800 
0.06756440000026487   7220000   950 
0.07293419999768957   8000000   1000 
0.12224639998748899   12500000   1250 
0.14588729999377392   15680000   1400 
0.2223795999889262   18000000   1500 
0.2964033999887761   21780000   1650 
0.3766131999727804   27380000   1850 
0.48733940001693554   30420000   1950 
0.4646260000008624   32000000   2000 
0.7361403999966569   46080000   2400 
1.7032349999935832   87120000   3300 
3.9909832999983337   169280000   4600 
3.7054157000093255   200000000   5000 
10.09974509998574   450000000   7500 
28.8209099000087   800000000   10000 
0.06421229999978095   8   1 
0.00036800000816583633   392   7 
0.0003704999980982393   800   10 
0.0024101999879349023   3200   20 
0.008248500002082437   20000   50 
0.031964699999662116   39200   70 
0.0008626999915577471   57800   85 
0.0012867999903392047   80000   100 
0.0015076000127010047   180000   150 
0.004917600017506629   320000   200 
0.0027307999844197184   500000   250 
0.0034807999909389764   720000   300 
0.022555400006240234   1280000   400 
0.01511680000112392   2000000   500 
0.03257769998162985   4500000   750 
0.04558299999916926   5120000   800 
0.06754499999806285   7220000   950 
0.06700519999139942   8000000   1000 
0.09396560001187027   12500000   1250 
0.12421189999440685   15680000   1400 
0.1503272999834735   18000000   1500 
0.23568729998078197   21780000   1650 
0.3784270999894943   27380000   1850 
0.4380770999996457   30420000   1950 
0.3234257999865804   32000000   2000 
0.47641429997747764   46080000   2400 
1.1685760999971535   87120000   3300 
2.753311499982374   169280000   4600 
3.649296699994011   200000000   5000 
11.372028999991016   450000000   7500 
29.114125299995067   800000000   10000 
0.13197270000819117   8   1 
0.00044139998499304056   392   7 
0.00044830000842921436   800   10 
0.0003586999955587089   3200   20 
0.0017152999935206026   20000   50 
0.001282299985177815   39200   70 
0.0016638000088278204   57800   85 
0.0015177000022958964   80000   100 
0.009831600007601082   180000   150 
0.01605900001595728   320000   200 
0.0026913000037893653   500000   250 
0.0041584999999031425   720000   300 
0.0055056000128388405   1280000   400 
0.010958099999697879   2000000   500 
0.02727170000434853   4500000   750 
0.03300169997964986   5120000   800 
0.05139039998175576   7220000   950 
0.04794889999902807   8000000   1000 
0.0772094999847468   12500000   1250 
0.10332190000917763   15680000   1400 
0.15313409999362193   18000000   1500 
0.16115559998434037   21780000   1650 
0.22861920000286773   27380000   1850 
0.22946990001946688   30420000   1950 
0.23974569997517392   32000000   2000 
0.8188354999874718   46080000   2400 
1.163155199988978   87120000   3300 
3.0421810999978334   169280000   4600 
4.899163800000679   200000000   5000 
11.56981139999698   450000000   7500 
23.16613860000507   800000000   10000 
0.0413676000025589   8   1 
0.0005504000000655651   392   7 
0.0001618000096641481   800   10 
0.0002148000057786703   3200   20 
0.0004778000002261251   20000   50 
0.000578900013351813   39200   70 
0.0006058999861124903   57800   85 
0.0009125999931711704   80000   100 
0.001038899994455278   180000   150 
0.0014680000022053719   320000   200 
0.0017451000167056918   500000   250 
0.0024899999843910336   720000   300 
0.004111699992790818   1280000   400 
0.005995599989546463   2000000   500 
0.01620750001166016   4500000   750 
0.02295869999215938   5120000   800 
0.035897099995054305   7220000   950 
0.04353140000603162   8000000   1000 
0.05140699999174103   12500000   1250 
0.09301599999889731   15680000   1400 
0.1046185000159312   18000000   1500 
0.15002869997988455   21780000   1650 
0.23570189997553825   27380000   1850 
0.23594489999231882   30420000   1950 
0.2172368000028655   32000000   2000 
0.42741230002138764   46080000   2400 
0.9902307000011206   87120000   3300 
2.4916017999930773   169280000   4600 
3.111473600001773   200000000   5000 
10.018475699995179   450000000   7500 
27.430156999995233   800000000   10000 
0.053375599993159994   8   1 
0.00024009999469853938   392   7 
0.00013870000839233398   800   10 
0.001862100005382672   3200   20 
