Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.05304110000724904   16   1 
0.00020910002058371902   784   7 
0.0001323999895248562   1600   10 
0.00019599997904151678   6400   20 
0.0006041000015102327   40000   50 
0.000767599995015189   78400   70 
0.0012445999891497195   115600   85 
0.0008043000125326216   160000   100 
0.0014741999912075698   360000   150 
0.0027815000212285668   640000   200 
0.0034900000027846545   1000000   250 
0.00719470001058653   1440000   300 
0.006641300016781315   2560000   400 
0.015535000013187528   4000000   500 
0.04691750000347383   9000000   750 
0.05199799998081289   10240000   800 
0.08583930000895634   14440000   950 
0.10633819998474792   16000000   1000 
0.17192409999552183   25000000   1250 
0.20941680000396445   31360000   1400 
0.24447299999883398   36000000   1500 
0.35147829999914393   43560000   1650 
0.5913504000054672   54760000   1850 
0.6996275999990758   60840000   1950 
0.7410096999956295   64000000   2000 
1.166441199980909   92160000   2400 
2.66626859997632   174240000   3300 
7.724382699991111   338560000   4600 
8.120121999992989   400000000   5000 
23.89644060001592   900000000   7500 
82.6101147000154   1600000000   10000 
0.15731340000638738   16   1 
0.0005009000014979392   784   7 
0.0006679999933112413   1600   10 
0.0007204000139608979   6400   20 
0.003497199999401346   40000   50 
0.001356099994154647   78400   70 
0.0014250999956857413   115600   85 
0.0011058000090997666   160000   100 
0.0016804999904707074   360000   150 
0.00644349999492988   640000   200 
0.004115399991860613   1000000   250 
0.005433699989225715   1440000   300 
0.011695399996824563   2560000   400 
0.021415600000182167   4000000   500 
0.058986299991374835   9000000   750 
0.06960640000761487   10240000   800 
0.1319454000040423   14440000   950 
0.13704890001099557   16000000   1000 
0.24170660000527278   25000000   1250 
0.32262920000357553   31360000   1400 
0.39091539999935776   36000000   1500 
0.5297633000009228   43560000   1650 
0.7205977000121493   54760000   1850 
0.912857699993765   60840000   1950 
0.9510636999912094   64000000   2000 
1.5483008000010159   92160000   2400 
3.772307400009595   174240000   3300 
9.912751399999252   338560000   4600 
12.312302600010298   400000000   5000 
38.43534769999678   900000000   7500 
84.3504888000025   1600000000   10000 
0.12745109997922555   16   1 
0.00045089999912306666   784   7 
0.0008276000153273344   1600   10 
0.0007155000057537109   6400   20 
0.0005670000100508332   40000   50 
0.0009207999974023551   78400   70 
0.0011300999904051423   115600   85 
0.0015377000090666115   160000   100 
0.0018551999819464982   360000   150 
0.0029218000127002597   640000   200 
0.005104599986225367   1000000   250 
0.0052967999945394695   1440000   300 
0.01106759998947382   2560000   400 
0.014850900013698265   4000000   500 
0.05957559999660589   9000000   750 
0.06379059999017045   10240000   800 
0.1062223999761045   14440000   950 
0.11294350001844577   16000000   1000 
0.20136570002068765   25000000   1250 
0.29854739998700097   31360000   1400 
0.3646672999893781   36000000   1500 
0.479028899979312   43560000   1650 
0.6504958999867085   54760000   1850 
0.8005091000231914   60840000   1950 
0.7919096999976318   64000000   2000 
1.3112513000087347   92160000   2400 
3.3869493000092916   174240000   3300 
8.100333899987163   338560000   4600 
11.446200999984285   400000000   5000 
38.60361130000092   900000000   7500 
89.4463768999849   1600000000   10000 
0.1497158000129275   16   1 
0.0003755000070668757   784   7 
0.00042039999971166253   1600   10 
0.0004934000025968999   6400   20 
0.000972100009676069   40000   50 
0.001219800004037097   78400   70 
0.0017451000167056918   115600   85 
0.0023560000117868185   160000   100 
0.0019005000067409128   360000   150 
0.0028051999979652464   640000   200 
0.0045202000183053315   1000000   250 
0.005073700012871996   1440000   300 
0.010426900000311434   2560000   400 
0.01923740000347607   4000000   500 
0.05575239998870529   9000000   750 
0.05866749997949228   10240000   800 
