Tiempo inversion[s]   Memoria[bytes]    Tamaño 
0.09859660000074655   9000000   750 
0.09352850000141189   10240000   800 
0.14729140000417829   14440000   950 
0.1658121999935247   16000000   1000 
0.2324629999930039   25000000   1250 
0.32107090001227334   31360000   1400 
0.3659369999950286   36000000   1500 
0.5576091000111774   43560000   1650 
0.6204495999845676   54760000   1850 
0.7618421999795828   60840000   1950 
0.7944870000064839   64000000   2000 
1.2805657999997493   92160000   2400 
3.337589900009334   174240000   3300 
7.9231688999861944   338560000   4600 
8.299813899997389   400000000   5000 
28.769925400003558   900000000   7500 
77.58151779999025   1600000000   10000 
0.10692540000309236   16   1 
0.00037379999412223697   784   7 
0.00017949999892152846   1600   10 
0.0005074999935459346   6400   20 
0.00027150000096298754   40000   50 
0.0005357000045478344   78400   70 
0.001010099978884682   115600   85 
0.004313299985369667   160000   100 
0.001047199999447912   360000   150 
0.0015254000027198344   640000   200 
0.004275699990103021   1000000   250 
0.006533199979458004   1440000   300 
0.022492899995995685   2560000   400 
0.014206799998646602   4000000   500 
0.04228929997771047   9000000   750 
0.06782019999809563   10240000   800 
0.09478089999174699   14440000   950 
0.11590780000551604   16000000   1000 
0.2354254999954719   25000000   1250 
0.3729927999956999   31360000   1400 
0.33609709999291226   36000000   1500 
0.4799355000141077   43560000   1650 
0.5837258000101428   54760000   1850 
0.6721082000003662   60840000   1950 
0.7399782000284176   64000000   2000 
1.1994209999975283   92160000   2400 
2.860626699985005   174240000   3300 
8.523472000000766   338560000   4600 
10.19190940001863   400000000   5000 
19.28270569999586   900000000   7500 
43.13487070001429   1600000000   10000 
0.09776269999565557   16   1 
0.0003403000009711832   784   7 
0.0003769999893847853   1600   10 
0.0005703000060748309   6400   20 
0.000757400004658848   40000   50 
0.0034459999878890812   78400   70 
0.003961300011724234   115600   85 
0.0031965000089257956   160000   100 
0.0028141000075265765   360000   150 
0.00583159999223426   640000   200 
0.0049156000022776425   1000000   250 
0.006401799997547641   1440000   300 
0.007973100000526756   2560000   400 
0.014200100005837157   4000000   500 
0.04110539998509921   9000000   750 
0.044860900001367554   10240000   800 
0.08132200001273304   14440000   950 
0.0903175999992527   16000000   1000 
0.1713242999976501   25000000   1250 
0.2148952000134159   31360000   1400 
0.27418560002115555   36000000   1500 
0.349374200013699   43560000   1650 
0.36846590001368895   54760000   1850 
0.44379160000244156   60840000   1950 
0.4462086000130512   64000000   2000 
0.8361618999915663   92160000   2400 
1.8650438000040594   174240000   3300 
4.537557000003289   338560000   4600 
5.842925500008278   400000000   5000 
18.51654770001187   900000000   7500 
42.774245899985544   1600000000   10000 
