Tiempo ensamblado [s]   Tiempo solucion [s]   Tamaño 
0.021048500006145332   0.015382199999294244   10 
0.002541000001656357   0.0003811999995377846   20 
0.0027133000039611943   0.0003367000026628375   50 
0.0026360999981989153   0.00045400000090012327   75 
0.002808600002026651   0.00046609999844804406   100 
0.003584199999750126   0.0005699999965145253   300 
0.003290499997092411   0.00064820000261534   500 
0.005076499997812789   0.0005301999990479089   800 
0.04509859999961918   0.0007696000029682182   1000 
0.01376940000045579   0.0016394999984186143   5000 
0.014073799997277092   0.0021861999994143844   10000 
0.0142070000001695   0.0033941000001505017   14000 
0.01079320000280859   0.0022320999996736646   15000 
0.011641199998848606   0.002530300000216812   20000 
0.025245700002415106   0.01142239999899175   50000 
0.037091999998665415   0.01288600000407314   75000 
0.04673200000252109   0.012619100001757033   100000 
0.06619830000272486   0.01878230000147596   130000 
0.05807710000226507   0.020929999998770654   150000 
0.09491500000149244   0.03038419999938924   250000 
0.1794798000046285   0.06926329999987502   500000 
0.2286991000000853   0.0865159999957541   600000 
0.3206443999952171   0.12382509999588365   750000 
0.3513727999961702   0.12684879999869736   1000000 
0.744758400003775   0.25509699999383884   2000000 
1.4862867999981972   0.5131780000010622   4000000 
2.0210355000017444   0.7528288999965298   5500000 
2.286319899998489   0.8789004999998724   6250000 
2.73851360000117   1.0068587999994634   7500000 
3.2606449000013527   1.2591652999981306   9000000 
3.607507600005192   1.3832353000034345   10000000 
0.08814899999561021   0.0700451000011526   10 
0.003150700002152007   0.0002877000006265007   20 
0.0026228999995510094   0.00019279999833088368   50 
0.0026918000003206544   0.0004034000012325123   75 
0.003464200002781581   0.00049560000479687   100 
0.0031726000015623868   0.00027639999461825937   300 
0.003989800003182609   0.0006422000005841255   500 
0.006383100000675768   0.000268599993432872   800 
0.004987200001778547   0.0004250000056345016   1000 
0.006698199998936616   0.0008149999994202517   5000 
0.009198200001264922   0.000928000001295004   10000 
0.006816900000558235   0.0011347999970894307   14000 
0.006606200004171114   0.0011028000008082017   15000 
0.008977799996500835   0.0019823000038741156   20000 
0.020898199996736366   0.007323300000280142   50000 
0.0286638999969   0.009784099995158613   75000 
0.04246509999939008   0.01180939999903785   100000 
0.05414149999705842   0.023773899993102532   130000 
0.05358840000553755   0.01897099999769125   150000 
0.09119930000451859   0.03163199999835342   250000 
0.18175129999872297   0.0764975999991293   500000 
0.2452499999999418   0.09514510000008158   600000 
0.30487839999841526   0.12137169999914477   750000 
0.3783744000029401   0.14480960000219056   1000000 
0.7012413999982527   0.2792721000005258   2000000 
1.4474778000003425   0.528171600002679   4000000 
2.0912038999958895   0.7215584000005038   5500000 
2.32037069999933   0.8328318999992916   6250000 
2.7611873999994714   1.043669200000295   7500000 
3.485494700005802   1.2858884000015678   9000000 
3.8063748000058695   1.455241700001352   10000000 
0.12386800000240328   0.09716609999304637   10 
0.004777900001499802   0.0003555000002961606   20 
0.005085099997813813   0.0008371999938390218   50 
0.005755099999078084   0.0004793999978573993   75 
0.0043599999989965   0.0006209999992279336   100 
0.004994900002202485   0.0006970000031287782   300 
0.0053496999971685   0.0004371999966679141   500 
0.007607899999129586   0.0006797000023652799   800 
0.007933799999591429   0.0005822999955853447   1000 
0.011390199993911665   0.0010800000018207356   5000 
0.007765299997117836   0.0009500000014668331   10000 
0.009245400004147086   0.0011266000001342036   14000 
0.007572199996502604   0.0012167000022600405   15000 
0.009922899997036438   0.0022702999995090067   20000 
0.022853299997223075   0.009059999996679835   50000 
0.029303099996468518   0.010203100006037857   75000 
0.04661449999548495   0.014666099996247794   100000 
0.05884409999998752   0.027239299997745547   130000 
0.0617770999961067   0.028579799996805377   150000 
0.11335939999844413   0.030893400005879812   250000 
0.20534870000119554   0.07731210000201827   500000 
0.22568709999904968   0.07800000000133878   600000 
0.2799544999943464   0.10745719999977155   750000 
0.3744409000064479   0.14559000000008382   1000000 
0.7013084999998682   0.2874597999980324   2000000 
1.4207174999974086   0.5578872000041883   4000000 
2.003505499997118   0.729818100000557   5500000 
2.3904762000020128   0.8308462999993935   6250000 
2.6844342999975197   1.0155735999942408   7500000 
3.2703047999966657   1.1930289000010816   9000000 
3.8711128999930224   1.3136794999954873   10000000 
0.09050700000079814   0.0706690000006347   10 
0.002559699998528231   0.0001843999998527579   20 
0.004862099995079916   0.0004082999948877841   50 
0.00451220000104513   0.0005302999998093583   75 
0.002759300004981924   0.000345499996910803   100 
0.0038080000012996607   0.00026729999808594584   300 
0.02734729999792762   0.0008818999995128252   500 
0.008754100002988707   0.0008592000012868084   800 
0.008033700003579725   0.0006773999994038604   1000 
0.011157000000821427   0.000977699994109571   5000 
0.009740199995576404   0.0010513000015635043   10000 
0.006520900002215058   0.0011955999943893403   14000 
0.0056941000002552755   0.0011598999990383163   15000 
0.011516399994434323   0.0017296000005444512   20000 
0.020957700005965307   0.007411499995214399   50000 
0.029731299997365568   0.0099733999959426   75000 
0.037372599996160716   0.018454299999575596   100000 
0.05622479999874486   0.02447270000266144   130000 
0.06301719999464694   0.02233179999893764   150000 
0.1216435000023921   0.0342882000040845   250000 
0.20983529999648454   0.0741626000017277   500000 
0.23907989999861456   0.0793545999986236   600000 
0.2692211999965366   0.12292860000161454   750000 
0.3564174999992247   0.12899489999836078   1000000 
0.7644498000008753   0.2666131000005407   2000000 
1.489250800004811   0.5055553999991389   4000000 
2.001767200003087   0.7425629000063054   5500000 
2.255795199998829   0.8734545999977854   6250000 
2.730330200000026   1.0014071999976295   7500000 
3.2589249000011478   1.2039764000001014   9000000 
3.7688621999986935   1.4778547999958391   10000000 
0.08880930000304943   0.07923179999488639   10 
0.0024484999958076514   0.00016760000289650634   20 
0.0025181000019074418   0.00020290000247769058   50 
0.0033408000017516315   0.0006053000033716671   75 
0.002561900000728201   0.000440200004959479   100 
0.004059400002006441   0.0005024999991292134   300 
0.003644900003564544   0.0006657999983872287   500 
0.004204400000162423   0.0004716000039479695   800 
0.0039551999943796545   0.00038669999776175246   1000 
0.007133400002203416   0.0008756000024732202   5000 
0.009345500002382323   0.0008968999973149039   10000 
0.007078800001181662   0.0015170999977272004   14000 
0.0078005000032135285   0.0011490999968373217   15000 
0.010177899996051565   0.001491900002292823   20000 
0.020159500003501307   0.007895000002463348   50000 
0.03220440000586677   0.009837999998126179   75000 
0.04139269999723183   0.014428199996473268   100000 
0.05216760000621434   0.018866599995817523   130000 
0.05172770000353921   0.020082000002730638   150000 
0.09186200000112876   0.03417940000508679   250000 
0.18755890000466025   0.09078790000057779   500000 
0.2689073999936227   0.09013469999626977   600000 
0.3121934000009787   0.12076610000076471   750000 
0.3818341000005603   0.13577290000102948   1000000 
