Tiempo ensamblado [s]   Tiempo solucion [s]   Tamaño 
0.1585692000007839   0.06832140000187792   4 
7.429999823216349e-05   1.3900003978051245e-05   7 
9.280000085709617e-05   2.0799998310394585e-05   10 
6.340000254567713e-05   1.2299999070819467e-05   20 
0.00010869999823626131   4.9500005843583494e-05   50 
0.00013490000128513202   0.0001779000012902543   70 
0.00013989999570185319   0.00015419999544974416   85 
0.0002327999973203987   0.00016850000247359276   100 
0.0008558000045013614   0.0003008999992744066   150 
0.0005887000006623566   0.0004734999965876341   200 
0.0016849999956320971   0.0008633999968878925   250 
0.002184199998737313   0.0012898999993922189   300 
0.005682299997715745   0.003183300003001932   400 
0.00770100000227103   0.006714399998600129   500 
0.028925600003276486   0.021755000001576263   750 
0.03243039999506436   0.021913900003710296   800 
0.044287299999268726   0.04336920000059763   950 
0.05038359999889508   0.04338660000212258   1000 
0.07536219999747118   0.08669249999366002   1250 
0.10536359999969136   0.12153289999696426   1400 
0.12433880000025965   0.2172772999983863   1500 
0.20673940000415314   0.1938363999943249   1650 
0.1973442000016803   0.3319349000012153   1850 
0.24874560000171186   0.31577780000225175   1950 
0.24365250000118976   0.3731245000017225   2000 
0.41555350000271574   0.6130936999979895   2400 
0.7445760999980848   1.7081915000017034   3300 
1.5767527000061818   4.617330900000525   4600 
1.9386948000028497   5.566288399997575   5000 
6.78632220000145   26.050821100005123   7500 
29.126895599998534   59.576455400005216   10000 
1.8397764000037569   0.5218437000003178   4 
0.00023800000053597614   0.00025489999825367704   7 
0.00020379999477881938   0.0001142999972216785   10 
0.00024539999867556617   2.149999636458233e-05   20 
0.0007659000038984232   6.819999543949962e-05   50 
0.0004779999944730662   0.0003947000004700385   70 
0.0005807999987155199   0.0002556999970693141   85 
0.0014635000043199398   0.00028359999851090834   100 
0.0016505000021425076   0.0005845999985467643   150 
0.0030196000006981194   0.0010363999972469173   200 
0.004657999998016749   0.0013571000017691404   250 
0.0037033000044175424   0.0020953999992343597   300 
0.008627600000181701   0.006513199994515162   400 
0.016818000003695488   0.011860299993713852   500 
0.04686799999763025   0.03287290000298526   750 
0.05221809999784455   0.03327050000370946   800 
0.07234229999448871   0.06319040000380483   950 
0.08331580000231043   0.060514200005854946   1000 
0.12689659999887226   0.12476189999870257   1250 
0.15710759999637958   0.18428339999809396   1400 
0.1901365000012447   0.21900160000222968   1500 
0.25406800000200747   0.28529790000175126   1650 
0.3342265999963274   0.4197920000005979   1850 
0.37521550000383286   0.438968800001021   1950 
0.3759295999989263   0.4762364000052912   2000 
0.5714523000060581   0.7893552999958047   2400 
1.0774313999936567   2.0756013999998686   3300 
2.124742399995739   5.394503800001985   4600 
2.615409700003511   6.829451599995082   5000 
5.83362159999524   22.73674800000299   7500 
27.838538800002425   53.31250649999856   10000 
0.6403412999934517   0.2783884000018588   4 
0.0002900000035879202   3.7099998735357076e-05   7 
0.00028639999800361693   6.10999995842576e-05   10 
0.00024199999461416155   2.0799998310394585e-05   20 
0.0005291000052238815   6.269999721553177e-05   50 
0.0005280999976093881   0.0003690000012284145   70 
0.0008423000035691075   0.00033989999792538583   85 
0.0010723000013967976   0.00018979999731527641   100 
0.0018309000006411225   0.0005560999998124316   150 
0.003085700001975056   0.0009355999936815351   200 
0.004602300003170967   0.0015166000011959113   250 
0.003639400005340576   0.0020172000004095025   300 
0.010768100000859704   0.004823200004466344   400 
0.014143300002615433   0.01370150000002468   500 
0.057124999999359716   0.03578169999673264   750 
0.050725799999781884   0.030629900000349153   800 
0.06960629999957746   0.06422789999487577   950 
0.07701280000037514   0.06397049999941373   1000 
0.12200520000624238   0.12448389999917708   1250 
0.16646639999817125   0.18495790000451962   1400 
0.2092770000017481   0.2090167999995174   1500 
0.25653130000137025   0.2760049999997136   1650 
0.3538763000033214   0.39116849999845726   1850 
0.3822421000004397   0.42694420000043465   1950 
0.3962226000003284   0.4764592999999877   2000 
0.574312299999292   0.7584426000030362   2400 
1.1173904000024777   2.0272755000041798   3300 
2.117109499995422   5.233092499998747   4600 
2.5703522999974666   6.630316599999787   5000 
6.1977774999977555   22.5373885999943   7500 
14.694198600001982   54.370085999995354   10000 
1.2908047000018996   0.4620625999959884   4 
0.0006014000027789734   2.4300003133248538e-05   7 
0.0003060999952140264   2.849999873433262e-05   10 
0.0003611000065575354   3.640000068116933e-05   20 
0.5265491000027396   0.9191331999973045   50 
0.0004932000010740012   0.0004135000053793192   70 
0.0011419000002206303   0.0005164999965927564   85 
0.0015655000024707988   0.0005840999947395176   100 
0.0027585000061662868   0.0009393000000272878   150 
0.004130100001930259   0.001600999996298924   200 
0.009774199999810662   0.05502359999809414   250 
0.006771699998353142   0.004693100003350992   300 
0.016110099997604266   0.0067127000002074055   400 
0.010785499995108694   0.010380799998529255   500 
0.29493039999942994   0.03259609999804525   750 
0.047413200001756195   0.030328900000313297   800 
0.06983970000146655   0.05203579999943031   950 
0.07080890000361251   0.061936800004332326   1000 
0.12200809999922058   0.11485450000327546   1250 
0.14021510000020498   0.16203030000178842   1400 
0.1803615000026184   0.20372620000125607   1500 
0.23980559999472462   0.2757513000033214   1650 
0.34077090000209864   0.5258075000019744   1850 
0.3752001999964705   0.5305623999956879   1950 
0.3964778000008664   0.6251854000001913   2000 
0.5916412000005948   1.131622500004596   2400 
1.0659994999950868   2.4731821000023047   3300 
2.0581109000049764   6.515834699996049   4600 
2.672098900002311   7.219011799999862   5000 
5.7304118999963976   23.58944110000448   7500 
11.920340199998464   53.723608699998294   10000 
0.3224723000021186   0.32412050000129966   4 
0.00021540000307140872   2.2300002456177026e-05   7 
0.0001688999982434325   2.2400003217626363e-05   10 
0.0007150000019464642   8.669999806443229e-05   20 
0.0011210000011487864   0.0002905000001192093   50 
0.001250399996933993   0.0005297000025166199   70 
0.0012210000058985315   0.0004210999977658503   85 
0.0017785000018193386   0.00034469999809516594   100 
0.2993048999996972   0.20147930000530323   150 
0.003310699998110067   0.0013411999971140176   200 
0.005694699997548014   0.0019768999991356395   250 
0.005036499998823274   0.002851699995517265   300 
0.011844600005133543   0.00490669999999227   400 
0.01426260000152979   0.009403299998666625   500 
0.04932619999453891   0.035456300000078045   750 
0.6982037999987369   0.031360399996628985   800 
0.07016719999955967   0.0490434000021196   950 
0.08009019999735756   0.06701799999427749   1000 
0.12955630000215024   0.1366487999985111   1250 
0.1596306999999797   0.17381249999743886   1400 
0.19140219999826513   0.19807590000709752   1500 
0.25815639999927953   0.2763636999952723   1650 
0.3320313000003807   0.3884137000059127   1850 
0.3849971000017831   0.45739989999856334   1950 
0.3830367999980808   0.46432089999871096   2000 
0.5740230000010342   0.7562763000023551   2400 
1.0312993999978062   1.9978005000011763   3300 
2.1265205000017886   5.365589500004717   4600 
2.6460709999955725   6.781910300000163   5000 
5.835864900000161   22.72659830000339   7500 
10.741141400001652   54.61809010000434   10000 
0.5817270000043209   0.4828412999995635   4 
0.00024310000299010426   2.710000262595713e-05   7 
0.00015559999883407727   2.849999873433262e-05   10 
0.17805309999675956   3.139999898849055e-05   20 
0.09542500000679865   5.709999823011458e-05   50 
0.0003097000007983297   0.00026700000307755545   70 
0.0004873000070801936   0.00032160000409930944   85 
0.0008866000061971135   0.000302100001135841   100 
0.001639399997657165   0.0006324000059976242   150 
0.0020231000016792677   0.0009285999985877424   200 
0.004240400005073752   0.0017324000000371598   250 
0.002693300004466437   0.0028049999964423478   300 
0.01112950000242563   0.005141900001035538   400 
0.014834600005997345   0.008870500001648907   500 
0.0381995999996434   0.033074800005124416   750 
0.05222900000080699   0.04002290000062203   800 
0.20304480000049807   0.06822310000279685   950 
0.09182770000188611   0.06767129999934696   1000 
0.12323299999843584   0.12142560000211233   1250 
0.17426890000206186   0.18173110000498127   1400 
0.1697176000016043   0.21058669999911217   1500 
0.2335181000016746   0.27183209999930114   1650 
0.317163800005801   0.35560719999921275   1850 
0.34351329999481095   0.4372245999984443   1950 
0.37329650000174297   0.43496450000384357   2000 
0.527674200006004   0.7756203000026289   2400 
1.0301228999960585   2.0355061999944155   3300 
2.149475499994878   5.36253410000063   4600 
2.5946591000029002   6.682552199999918   5000 
5.902686800000083   22.842275199996948   7500 
9.815099699997518   55.19380809999711   10000 
0.31061249999766005   0.1501628999976674   4 
0.000112900001113303   2.0699997548945248e-05   7 
0.00013480000052368268   1.2999997125007212e-05   10 
0.00017260000458918512   1.9099999917671084e-05   20 
0.0006970000031287782   0.00016250000044237822   50 
0.0006840999994892627   0.00046800000563962385   70 
0.0011118000038550235   0.0003524999992805533   85 
0.001756300000124611   0.0003437000050325878   100 
0.0023277000000234693   0.1997895000022254   150 
0.0805361999955494   0.0014557999966200441   200 
0.004840800000238232   0.0024578000011388212   250 
0.003969099998357706   0.004303199995774776   300 
0.013726999997743405   0.006420099998649675   400 
0.016437699996458832   0.00900040000124136   500 
0.048831000000063796   0.030815500002063345   750 
0.05540170000313083   0.12978010000369977   800 
0.07515830000193091   0.054768300004070625   950 
0.07846199999767123   0.06720730000233743   1000 
0.13834630000201287   0.12818569999944884   1250 
