Tiempo ensamblado [s]   Tiempo solucion [s]   Tamaño 
0.19795769999996082   0.688847399999986   4 
0.00027039999986300245   0.0019604999999955908   7 
0.0002406000000974018   0.07382429999984197   10 
0.023164700000052107   0.10792279999986931   20 
0.0009378999998261861   0.13580610000008164   50 
0.0017150999999557826   0.2534442000001036   70 
0.0015338999999130465   0.008197800000061761   85 
0.0018897999998443993   0.005276399999956993   100 
0.004405799999858573   0.06316889999993691   150 
0.006171300000005431   0.0072803999998996005   200 
0.005963899999869682   0.00638159999994059   250 
0.0036309999998138665   0.005570700000134821   300 
0.004254999999830034   0.005942100000083883   400 
0.00498499999980595   0.0081339000000753   500 
0.013981499999999869   0.03402249999999185   750 
0.018016499999930602   0.021437200000036682   800 
0.01904469999999492   0.029270100000076127   950 
0.027705900000000838   0.04047099999979764   1000 
0.034591399999953865   0.1721433000000161   1250 
0.08479050000005373   0.11247509999998329   1400 
0.053072100000008504   0.10008749999997235   1500 
0.0718738000000485   0.1825827999998637   1650 
0.0990962999999283   0.18979719999992994   1850 
0.11025259999996706   0.2221881000000394   1950 
0.14244140000005245   0.2738036999999167   2000 
0.19502160000001822   0.6317435999999361   2400 
0.35782190000008995   1.1086287000000539   3300 
0.7052361000000928   2.699254299999893   4600 
0.8844195000001491   2.61663139999996   5000 
1.8511085999998613   7.700248800000054   7500 
3.282858199999964   16.918671500000073   10000 
0.11400529999991704   0.0002471999998761021   4 
9.279999994760146e-05   0.0004926999999952386   7 
5.719999990105862e-05   0.00046750000001338776   10 
8.900000011635711e-05   0.00044809999985773175   20 
0.00016589999995630933   0.0005495000000337313   50 
0.000259199999845805   0.0007775999999921623   70 
0.0003497000000152184   0.0007004000001415989   85 
0.0003881000000092172   0.0008668000000398024   100 
0.0004338999999617954   0.0013463999998748477   150 
0.0008462999999210297   0.0014054000000669475   200 
0.0008817999998882442   0.002678099999911865   250 
0.0014748999999483203   0.0028136999999333057   300 
0.003722699999798351   0.004832800000031057   400 
0.004838000000063403   0.009038799999871117   500 
0.01499100000000908   0.01998150000008536   750 
0.018639899999925547   0.026143900000079157   800 
0.028274799999962852   0.04064640000001418   950 
0.028981600000179242   0.049375399999917136   1000 
0.045022000000017215   0.08993980000013835   1250 
0.05378140000016174   0.07642190000001392   1400 
0.06055719999994835   0.11932279999996354   1500 
0.07690699999989192   0.13142489999995632   1650 
0.09713130000000092   0.18792729999995572   1850 
0.1224566999999297   0.24127360000011322   1950 
0.11747540000010304   0.21717769999986558   2000 
0.1732059000000845   0.45204790000002504   2400 
0.3631566000001385   0.8316667999999936   3300 
0.6895348000000467   2.0192480999999134   4600 
0.8073374000000513   2.7535173999999643   5000 
1.97178729999996   8.31123300000013   7500 
3.7392470999998295   25.917822699999988   10000 
0.10806660000002921   0.0002458000001297478   4 
6.290000010267249e-05   0.00016839999989315402   7 
7.849999997233681e-05   0.00042750000011437805   10 
9.270000009564683e-05   0.0004655000000184373   20 
0.00025689999984024325   0.0005505000001448934   50 
0.0005349999998998101   0.0008787000001575507   70 
0.0003673999999591615   0.0008849000000736851   85 
0.0004136000000016793   0.000860400000192385   100 
0.0005762000000686385   0.0015058999999837397   150 
0.0008414999999786232   0.0016206000000238419   200 
0.0011927999998988525   0.0022323999999116495   250 
0.0014401999999336113   0.0031032000001687265   300 
0.0036704999999983556   0.004135099999984959   400 
0.00389380000001438   0.006405399999948713   500 
0.01312370000005103   0.025036499999941952   750 
0.019237499999917418   0.02128579999998692   800 
0.026886499999818625   0.05045530000006693   950 
0.028177799999866693   0.04498550000016621   1000 
0.040026099999977305   0.06004849999999351   1250 
0.04490499999997155   0.09122850000017024   1400 
0.06707110000002103   0.11905830000000606   1500 
0.07485989999986487   0.1487776000001304   1650 
0.09937059999992925   0.1999519999999393   1850 
0.10899549999999181   0.21847909999996773   1950 
0.11672249999992346   0.22648670000012316   2000 
0.1847490000000107   0.37177919999999176   2400 
0.3620806999999786   0.8568027999999686   3300 
0.7008687000000009   2.0022373000001608   4600 
0.7960358999998789   2.536961900000051   5000 
1.7998050000001058   7.402949699999908   7500 
3.332855799999834   16.952871300000197   10000 
0.10774000000014894   0.0002936999999292311   4 
6.409999991774384e-05   0.00017010000010486692   7 
5.390000001170847e-05   0.00018869999985327013   10 
6.12999999702879e-05   0.00018939999995382095   20 
0.00013799999987895717   0.0006084999999984575   50 
0.0005708000001050095   0.0006151999998564861   70 
0.0005198000001200853   0.0009708000000046013   85 
0.0004757999997764273   0.0011151000001063949   100 
0.0007960000000366563   0.0011435999999775959   150 
0.0009092000000237022   0.0019239000000652595   200 
0.0014095999999881315   0.001963000000159809   250 
0.0009078000000499742   0.0016312000000198168   300 
0.0024092000001019187   0.003856499999983498   400 
0.0036502000000382395   0.008756299999959083   500 
0.015364399999953093   0.017818799999986368   750 
0.015946499999927255   0.020938399999977264   800 
0.02573870000014722   0.032972399999835034   950 
0.02777179999998225   0.047909599999911734   1000 
0.04096860000004199   0.07791539999993802   1250 
0.047808300000042436   0.0763632000000598   1400 
0.0498357000001306   0.10646479999991243   1500 
0.08629230000019561   0.12607589999993252   1650 
0.09309030000008534   0.19781689999990704   1850 
0.10995450000018536   0.22478869999986273   1950 
0.12076999999999316   0.24563940000007278   2000 
0.16890489999991587   0.37999650000006113   2400 
0.36124199999994744   0.8602187000001322   3300 
0.7054576000000452   2.041582599999856   4600 
0.804160599999932   2.516319199999998   5000 
1.8246490999999878   7.503950100000111   7500 
3.2749257999998918   17.055592900000192   10000 
0.12446699999986777   0.00025190000019392755   4 
