Tiempo ensamblado [s]   Tiempo solucion [s]   Tamaño 
0.30064450000008947   0.09348860000000059   10 
0.0021189999999933207   0.01748589999988326   20 
0.003218800000013289   0.0007325999999920896   50 
0.0032421000000795175   0.0008921000001009816   75 
0.002059799999869938   0.001273900000114736   100 
0.0024687999998604937   0.001723500000025524   300 
0.0016157999998540618   0.0015315000000555301   500 
0.0031942000000526605   0.0017183999998451327   800 
0.003330199999936667   0.0013209000001097593   1000 
0.002853199999890421   0.002278600000181541   3000 
0.0033510999999180058   0.0038612999999259046   5000 
0.0038416999998389656   0.0047014000001581735   7500 
0.004792700000052719   0.006520399999999427   10000 
0.0033267999999679887   0.008891599999969912   14000 
0.004332199999907971   0.009647800000038842   15000 
0.0056190000000242435   0.012369499999977052   20000 
0.009784900000113339   0.03473910000002434   50000 
0.015119400000003225   0.05566040000007888   75000 
0.026915499999859094   0.0664856000000782   100000 
0.029844599999933052   0.08526830000005248   130000 
0.032075700000177676   0.11878309999997327   150000 
0.04801169999996091   0.1866378000001987   250000 
0.08356730000014068   0.3400893000000451   500000 
0.10001580000016475   0.40572039999983645   600000 
0.13958470000011403   0.5156383999999434   750000 
0.17311140000015257   0.7338733999999931   1000000 
0.32603960000005827   1.3817412999999306   2000000 
0.6519272000000456   2.9150073000000702   4000000 
0.8847665000000688   3.9798471999999947   5500000 
1.0200922999999875   4.889428300000191   6250000 
1.4148189000000002   13.0837669   7500000 
0.8501891999999316   0.07212010000012015   10 
0.0027860999998665648   0.0005745000000842992   20 
0.002996899999970992   0.0005037000000811531   50 
0.0027052000000367116   0.0008612999999968451   75 
0.002744399999983216   0.00041650000002846355   100 
0.007500700000036886   0.0007115999999314226   300 
0.0038399999998546264   0.0010978000000250177   500 
0.0025415000000066357   0.0012019000000691449   800 
0.019626000000016575   0.0023008000000572792   1000 
0.004008500000054482   0.004561499999908847   3000 
0.0036547000001974084   0.008726199999955497   5000 
0.005099500000142143   0.008154299999887371   7500 
0.026724699999931545   0.010556899999983216   10000 
0.004850499999975   0.01408609999998589   14000 
0.01233830000001035   0.016026600000031976   15000 
0.005601899999874149   0.01979920000007951   20000 
0.01739010000005692   0.05754590000015014   50000 
0.02597040000000561   0.12665020000008553   75000 
0.02968660000010459   0.09021629999983816   100000 
0.031173100000160048   0.09997909999992771   130000 
0.02898260000006303   0.11566440000001421   150000 
0.05043610000006993   0.20617129999982353   250000 
0.09700599999996484   0.3956295999998929   500000 
0.13796589999992648   0.5163396000000375   600000 
0.1356882999998561   0.5962213000000247   750000 
0.1741956000000755   0.6659973999999238   1000000 
0.3317394000000604   1.3985341000000062   2000000 
0.648187900000039   2.8276836999998523   4000000 
0.96616999999992   4.049763600000006   5500000 
1.04161420000014   4.290403799999922   6250000 
1.265878100000009   5.283157399999936   7500000 
0.04255890000013096   0.004846199999974488   10 
0.0014406999998755055   0.00040620000004309986   20 
0.0028062999999747262   0.0005932000001394044   50 
0.002599400000008245   0.0003682999999909953   75 
0.0014611999999942782   0.00021109999988766504   100 
0.0014714999999796419   0.00041490000012345263   300 
0.003141000000141503   0.0008252000000084081   500 
0.0017244000000573578   0.0007462000000941771   800 
0.0016046999999161926   0.001167500000065047   1000 
0.0018309000001863751   0.0036199999999553256   3000 
0.002948500000002241   0.0055476999998518295   5000 
0.004753599999958169   0.005279100000052495   7500 
0.006977899999810688   0.010672000000113258   10000 
0.008307000000058906   0.013774600000033388   14000 
0.009318299999904411   0.014003200000161087   15000 
0.00526680000007218   0.013235799999847586   20000 
0.0359925000000203   0.06189319999998588   50000 
0.02826190000018869   0.06467029999998886   75000 
0.02226539999992383   0.08506039999997483   100000 
0.03158250000001317   0.16673489999993762   130000 
0.033336099999814905   0.12027000000011867   150000 
0.046885599999995975   0.18622320000008585   250000 
0.09287400000016532   0.364413999999897   500000 
0.11040550000006988   0.4278208999999151   600000 
0.12593089999995755   0.49871170000005804   750000 
0.17223660000013297   0.7008899999998448   1000000 
0.3303730000000087   1.3851739000001544   2000000 
0.6546780999999555   2.8074426999999105   4000000 
0.9926652999999988   4.027690800000073   5500000 
1.0547805000001063   4.359838800000034   6250000 
1.2616828999998688   5.34607670000014   7500000 
0.036546900000075766   0.003877200000033554   10 
0.0015985000000000582   0.00020119999999224092   20 
0.001214399999980742   0.00019010000005437178   50 
0.0021335999999791966   0.0005717000001368433   75 
0.0028224000000136584   0.0010199000000739034   100 
0.0016044999999849097   0.0003478000000995962   300 
0.002112000000124681   0.0009033999999701336   500 
0.0031796000000667846   0.0007630000000062864   800 
0.001651100000117367   0.036240199999838296   1000 
0.002461900000071182   0.003565600000001723   3000 
0.002988599999980579   0.005330899999989924   5000 
0.004167199999983495   0.006329199999981938   7500 
0.0074918000000252505   0.013987599999836675   10000 
0.008386499999915031   0.01214069999991807   14000 
0.006481099999973594   0.012786700000106066   15000 
0.006241799999997966   0.013883300000088639   20000 
0.011540599999989354   0.034226300000000265   50000 
0.023264400000016394   0.07404829999995854   75000 
0.03290480000009666   0.0813176999999996   100000 
0.03091509999990194   0.09950140000000829   130000 
0.028380299999980707   0.12695699999994758   150000 
0.12306790000002366   0.2147296999999071   250000 
0.09925099999986742   0.41015650000008463   500000 
0.11664299999983996   0.44853260000013506   600000 
0.13818590000005315   0.54166999999984   750000 
0.17124710000007326   0.7339395999999851   1000000 
0.3342444999998406   1.6029340000000047   2000000 
0.7901162000000568   2.9781510000000253   4000000 
1.0065147000000252   3.931159600000001   5500000 
1.1171948999999586   4.702426600000081   6250000 
2.0193171000000802   8.133183500000086   7500000 
