Tiempo ensamblado [s]   Tiempo inversa [s]   Tamaño 
0.0001772   1.2233825   4 
0.00031730000000007585   0.0007626000000000577   7 
0.00015570000000009188   0.0005720999999998533   10 
0.00027860000000012874   0.46797599999999995   20 
0.00048060000000016423   0.2269778   50 
0.0031484999999999985   0.27994039999999987   70 
0.0007928000000001489   0.018753999999999937   85 
0.0008646999999997185   0.0039709000000001105   100 
0.001069600000000115   0.019170599999999816   150 
0.001475000000000115   0.0038255999999998735   200 
0.0030548999999999715   0.00536929999999991   250 
0.0024902999999998343   0.003583799999999915   300 
0.003823000000000132   0.006961599999999901   400 
0.005243000000000109   0.014733799999999686   500 
0.019021400000000188   0.03419490000000014   750 
0.016424799999999795   0.02937719999999988   800 
0.02211770000000035   0.05710109999999968   950 
0.027239199999999908   0.06934230000000019   1000 
0.05352939999999995   0.12420929999999997   1250 
0.06261779999999995   0.1887631999999999   1400 
0.07818769999999997   0.19504290000000024   1500 
0.08429169999999964   0.2848999000000001   1650 
0.12827810000000017   0.36754169999999986   1850 
0.13548680000000068   0.4397297   1950 
0.13592219999999955   0.4613329000000004   2000 
0.19014350000000046   0.8223905999999994   2400 
0.37249609999999933   2.0298824   3300 
0.7902747999999988   5.236182600000001   4600 
0.8567563000000007   6.247375799999999   5000 
1.9626915999999994   19.642263099999997   7500 
3.6212234999999993   44.7355856   10000 
0.10054819999999154   0.1180459000000127   4 
7.860000000903256e-05   0.00036120000000039454   7 
4.6599999990348806e-05   0.0003891000000066924   10 
7.709999999860884e-05   0.00024700000000166256   20 
0.00027570000000309847   0.0006003999999961707   50 
0.0002444999999937636   0.0033280000000104337   70 
0.00040549999999939246   0.0006709000000029164   85 
0.0004545999999976402   0.0008597000000065691   100 
0.0006358999999918069   0.0013208000000020093   150 
0.0009298000000086404   0.001851500000000783   200 
0.0011065000000058944   0.0027894999999915626   250 
0.003611800000001608   0.004795799999996575   300 
0.00333129999999926   0.008736799999994105   400 
0.006195099999999343   0.013737599999998906   500 
0.013876500000009173   0.04449969999998871   750 
0.01857710000000168   0.04166229999999871   800 
0.037046499999988214   0.07516160000000127   950 
0.025591399999996156   0.07433129999999721   1000 
0.04662260000000629   0.11165739999999857   1250 
0.06695849999999837   0.14840629999999067   1400 
0.058058500000001345   0.18499889999999652   1500 
0.07084089999999321   0.30816260000000284   1650 
0.1100192999999905   0.42490620000000945   1850 
0.11736989999999992   0.4868945999999994   1950 
0.12702719999998635   0.48065560000000573   2000 
0.1736196000000092   0.7359153999999961   2400 
0.3409690000000012   2.0623535999999945   3300 
0.6942381000000069   4.511408000000003   4600 
0.8071348999999941   5.662467300000003   5000 
1.8710874000000075   19.147587799999982   7500 
3.8696779999999933   45.63468710000001   10000 
0.10277350000001206   0.10629289999999969   4 
8.95000000014079e-05   0.00037369999998304593   7 
5.659999999352294e-05   0.00017690000001380213   10 
0.00019929999999135362   0.00023350000000732507   20 
9.890000001178123e-05   0.0006094999999959327   50 
0.00019699999998579187   0.0010688000000129705   70 
0.0004223999999908301   0.001292599999999311   85 
0.0006934999999828051   0.0009118000000114534   100 
0.0010355999999944743   0.0017773000000147476   150 
0.0014750999999932901   0.005235099999993054   200 
0.0020901000000037584   0.0035924999999963347   250 
0.0033554999999978463   0.004883800000015981   300 
0.005218999999982543   0.007529300000015837   400 
0.003746299999988878   0.010081500000012511   500 
0.014422499999994898   0.033619100000009894   750 
0.01523679999999672   0.04562190000001465   800 
0.02795150000000035   0.06771000000000527   950 
0.03149659999999699   0.09922389999999837   1000 
0.04596189999998046   0.11443290000002548   1250 
0.061043699999999035   0.17194349999999758   1400 
0.05603659999999877   0.22127570000000674   1500 
0.10626419999999825   0.3123295999999982   1650 
0.13220339999998032   0.7300528000000099   1850 
0.17284879999999703   0.693347799999998   1950 
0.18176650000000905   0.7168719999999951   2000 
