Tiempo[s]   Memoria[bytes]    Tamaño 
0.001069900000004509   960000   200 
0.0011797999999885178   1500000   250 
0.0022266999999942527   2160000   300 
0.005235400000003665   3840000   400 
0.010499299999992218   6000000   500 
0.024704299999996238   13500000   750 
0.05934719999999061   15360000   800 
0.044534699999985605   21660000   950 
0.05081620000001408   24000000   1000 
0.09216180000001373   37500000   1250 
0.18325930000000312   47040000   1400 
0.5094701000000157   54000000   1500 
0.582860299999993   65340000   1650 
0.35681900000000155   82140000   1850 
0.4218508000000156   91260000   1950 
0.6563298000000088   96000000   2000 
0.7223059999999748   138240000   2400 
1.7870676000000003   261360000   3300 
4.916643700000009   507840000   4600 
5.961283100000003   600000000   5000 
18.82457279999997   1350000000   7500 
53.703647099999955   2400000000   10000 
0.11235439999995833   216   3 
4.1300000020783045e-05   1176   7 
8.900000011635711e-06   2400   10 
1.5599999983351154e-05   9600   20 
9.090000003197929e-05   60000   50 
0.00031870000003664245   117600   70 
0.00032129999999597203   173400   85 
0.00022669999998470303   240000   100 
0.00044850000000451473   540000   150 
0.0010389999999915744   960000   200 
0.0042805999999586675   1500000   250 
0.0019450000000347245   2160000   300 
0.004013900000018111   3840000   400 
0.006784700000025623   6000000   500 
0.02236640000000989   13500000   750 
0.027206100000000788   15360000   800 
0.048947700000042005   21660000   950 
0.052702099999976326   24000000   1000 
0.0958631999999966   37500000   1250 
0.15968580000003385   47040000   1400 
0.24555559999998877   54000000   1500 
0.196516900000006   65340000   1650 
0.2919147999999723   82140000   1850 
0.4216725999999653   91260000   1950 
0.43457899999998517   96000000   2000 
0.8965281000000118   138240000   2400 
2.1214153000000238   261360000   3300 
5.269939000000022   507840000   4600 
9.282387200000016   600000000   5000 
32.00923180000001   1350000000   7500 
50.3661568   2400000000   10000 
0.13247240000004012   216   3 
2.8899999961140566e-05   1176   7 
1.4700000008360803e-05   2400   10 
2.5699999980588473e-05   9600   20 
4.020000000082291e-05   60000   50 
0.0006055000000060318   117600   70 
0.0002038999999740554   173400   85 
0.00036969999996472325   240000   100 
0.0016483999999650223   540000   150 
0.0014967999999839776   960000   200 
0.0023149000000444175   1500000   250 
0.004577400000016496   2160000   300 
0.00916979999999512   3840000   400 
0.006236600000022463   6000000   500 
0.025185599999986152   13500000   750 
0.054470999999978176   15360000   800 
0.11738499999995611   21660000   950 
0.059462600000017574   24000000   1000 
0.0956332999999745   37500000   1250 
0.12281990000002452   47040000   1400 
0.2048090999999772   54000000   1500 
0.2698692999999821   65340000   1650 
0.33843260000003283   82140000   1850 
0.37112899999999627   91260000   1950 
0.3956179999999563   96000000   2000 
0.72880889999999   138240000   2400 
1.7257834000000116   261360000   3300 
4.122105000000033   507840000   4600 
4.985655300000019   600000000   5000 
16.112635300000022   1350000000   7500 
44.08928759999998   2400000000   10000 
0.11333160000003772   216   3 
2.4499999994986865e-05   1176   7 
9.799999986626062e-06   2400   10 
1.099999997222767e-05   9600   20 
6.559999997080013e-05   60000   50 
0.00016320000003133828   117600   70 
0.00025920000001633525   173400   85 
0.00038769999997612103   240000   100 
0.2015643999999952   540000   150 
0.0013165999999955602   960000   200 
0.0014303000000381871   1500000   250 
0.0050959999999804495   2160000   300 
0.004010899999968842   3840000   400 
0.008249200000022938   6000000   500 
0.019829700000002504   13500000   750 
0.04274750000001859   15360000   800 
0.05146180000002687   21660000   950 
0.058322400000008656   24000000   1000 
0.08210150000002159   37500000   1250 
0.22793519999999035   47040000   1400 
0.15176270000000613   54000000   1500 
0.36935760000000073   65340000   1650 
0.33573790000002646   82140000   1850 
0.5142975999999635   91260000   1950 
0.4266015000000607   96000000   2000 
0.9485228999999435   138240000   2400 
1.8170278000000053   261360000   3300 
5.346031900000071   507840000   4600 
6.9645620999999664   600000000   5000 
20.689793099999974   1350000000   7500 
44.47748549999994   2400000000   10000 
0.12854600000002847   216   3 
2.3499999997511622e-05   1176   7 
1.1299999982838926e-05   2400   10 
2.8899999961140566e-05   9600   20 
4.500000000007276e-05   60000   50 
0.0008194999999204811   117600   70 
0.0006724999999505599   173400   85 
0.00470580000001064   240000   100 
0.0038721999999324908   540000   150 
0.004241699999965931   960000   200 
0.0035454999999728898   1500000   250 
0.003952099999992242   2160000   300 
0.004129600000055689   3840000   400 
0.010614400000008573   6000000   500 
0.02845860000002176   13500000   750 
0.03471439999998438   15360000   800 
0.043630500000062966   21660000   950 
0.08574830000009115   24000000   1000 
0.1129079999999476   37500000   1250 
0.17283599999996113   47040000   1400 
0.16970449999996617   54000000   1500 
0.2255777999999964   65340000   1650 
0.30762049999998453   82140000   1850 
0.35255159999996977   91260000   1950 
0.3578114999999116   96000000   2000 
0.6000599999999849   138240000   2400 
1.5269605999999385   261360000   3300 
4.041364199999975   507840000   4600 
5.067557499999907   600000000   5000 
17.315812700000038   1350000000   7500 
46.42198099999996   2400000000   10000 
0.11350119999997332   216   3 
5.480000004354224e-05   1176   7 
1.3899999999011925e-05   2400   10 
1.3699999954042141e-05   9600   20 
7.100000004811591e-05   60000   50 
0.00043440000001737644   117600   70 
0.00019550000001800072   173400   85 
0.00031690000002981833   240000   100 
0.0005037999999331078   540000   150 
0.0006611999999677209   960000   200 
0.0014202999999497479   1500000   250 
0.0019356000000243512   2160000   300 
0.004133700000011231   3840000   400 
0.008764199999973243   6000000   500 
0.02078920000008111   13500000   750 
0.023580899999956273   15360000   800 
0.035713200000031975   21660000   950 
0.05346989999998186   24000000   1000 
0.09784910000007585   37500000   1250 
0.13755759999992279   47040000   1400 
0.13242209999998522   54000000   1500 
0.199459700000034   65340000   1650 
0.2608010999999806   82140000   1850 
0.32965409999997064   91260000   1950 
0.33888889999991534   96000000   2000 
0.5301529999999275   138240000   2400 
1.3417239999999993   261360000   3300 
3.6903070000000753   507840000   4600 
4.779786100000024   600000000   5000 
17.573135500000035   1350000000   7500 
38.2318391   2400000000   10000 
0.12177919999999176   216   3 
2.2299999955066596e-05   1176   7 
1.3799999919683614e-05   2400   10 
2.0199999994474638e-05   9600   20 
0.00022030000002359884   60000   50 
0.0003237999999328167   117600   70 
0.0003472000000783737   173400   85 
0.00031779999994796526   240000   100 
0.0004757000000381595   540000   150 
0.0009021999999276886   960000   200 
0.00203959999998915   1500000   250 
0.004017900000008012   2160000   300 
0.0070646000000351705   3840000   400 
0.008732100000088394   6000000   500 
0.041053000000033535   13500000   750 
0.032555499999944004   15360000   800 
0.059121699999991506   21660000   950 
0.060871000000020103   24000000   1000 
0.678711700000008   37500000   1250 
0.15752210000005107   47040000   1400 
0.19457729999999174   54000000   1500 
0.2598425999999563   65340000   1650 
0.3432052000000567   82140000   1850 
0.35938869999995404   91260000   1950 
0.3328013999999939   96000000   2000 
0.5461881999999605   138240000   2400 
1.6640959999999723   261360000   3300 
4.138144099999977   507840000   4600 
4.6601014000000305   600000000   5000 
15.079209100000071   1350000000   7500 
36.737575900000024   2400000000   10000 
0.1527961999998979   216   3 
2.3700000042481406e-05   1176   7 
1.589999999396241e-05   2400   10 
2.4000000053092663e-05   9600   20 
4.0900000044530316e-05   60000   50 
0.0001835000000482978   117600   70 
0.0005029000000149608   173400   85 
0.0002245000000584696   240000   100 
0.00048149999997804116   540000   150 
0.0006590000000414875   960000   200 
0.0023022999999966487   1500000   250 
0.0029984000000240485   2160000   300 
0.004316700000003948   3840000   400 
0.00848129999997127   6000000   500 
0.02679169999998976   13500000   750 
0.03511409999998705   15360000   800 
0.05280809999999292   21660000   950 
0.054928099999983715   24000000   1000 
0.08288919999995414   37500000   1250 
0.15403030000004492   47040000   1400 
0.15169620000006034   54000000   1500 
0.19373369999993884   65340000   1650 
0.27668610000000626   82140000   1850 
0.37037230000009913   91260000   1950 
0.3497727000000168   96000000   2000 
0.6040894999999864   138240000   2400 
1.598934100000065   261360000   3300 
3.978176299999973   507840000   4600 
5.980529199999978   600000000   5000 
19.896931699999982   1350000000   7500 
48.74718949999999   2400000000   10000 
