Tiempo eigh[s]    Tamaño 
0.024878700001863763   3 
0.0002477999951224774   7 
0.0002238000015495345   10 
0.0002398000069661066   20 
0.0007304000027943403   50 
0.0025791999942157418   70 
0.0013134000037098303   85 
0.0012428000045474619   100 
0.0041856000025291   150 
0.006044800000381656   200 
0.011781299996073358   250 
0.016247500010649674   300 
0.046320899986312725   400 
0.22705380000115838   500 
0.4713326000055531   750 
0.2233196000015596   800 
0.6038196000008611   950 
0.6216948000073899   1000 
0.993245300007402   1250 
0.6266716999962227   1300 
0.8142838999920059   1400 
0.8787818999990122   1500 
1.2787899999966612   1650 
1.9305099000048358   1850 
2.38594490000105   1950 
2.4924805000046035   2000 
2.3773117999953683   2100 
3.5714050999959   2400 
8.77303209999809   3300 
21.09324459999334   4600 
27.44216379999125   5000 
0.011314799994579516   3 
0.0002376000047661364   7 
0.00014209999062586576   10 
0.0001368000084767118   20 
0.00044350000098347664   50 
0.0006409000052371994   70 
0.0013490000128513202   85 
0.0014007999998284504   100 
0.002627499998197891   150 
0.0059086999972350895   200 
0.006969499998376705   250 
0.012126500005251728   300 
0.021673099996405654   400 
0.0372812999994494   500 
0.09859470000083093   750 
0.1304868000006536   800 
0.2238533999916399   950 
0.3573432999983197   1000 
0.48533680000400636   1250 
0.4775062999979127   1300 
0.6744663999998011   1400 
1.026564600004349   1500 
1.2441988000064157   1650 
1.6962401999917347   1850 
2.216419100004714   1950 
2.441976300004171   2000 
2.4604263000073843   2100 
3.35326509999868   2400 
8.11386689999199   3300 
21.739806300000055   4600 
28.410146299996995   5000 
0.016294599990942515   3 
0.0002310999989276752   7 
0.0018383999995421618   10 
0.0003065000055357814   20 
0.0008991000067908317   50 
0.001401600005920045   70 
0.0012415000092005357   85 
0.0017388999985996634   100 
0.006471200002124533   150 
0.009468100004596636   200 
0.017193699997733347   250 
0.022978400011197664   300 
0.03372619999572635   400 
0.045176499988883734   500 
0.13585210000746883   750 
0.14047100000607315   800 
0.1992304999876069   950 
0.26063810000778176   1000 
0.6891384000045946   1250 
0.5620364999922458   1300 
0.5770530999870971   1400 
0.9393031999934465   1500 
1.0509645999991335   1650 
1.633394299991778   1850 
1.9414143999892985   1950 
2.030926299994462   2000 
2.2392381000099704   2100 
3.465536299991072   2400 
9.68508290000318   3300 
21.491752000001725   4600 
27.87004429999797   5000 
0.014283099997555837   3 
0.00025159999495372176   7 
0.0003603999939514324   10 
0.0003833999944617972   20 
0.0010399000020697713   50 
0.0010083999950438738   70 
0.0014613999956054613   85 
0.0013602999970316887   100 
0.004040499989059754   150 
0.0041698999993968755   200 
0.01204100000904873   250 
0.01630750000185799   300 
0.02484800000092946   400 
0.05846330001077149   500 
0.13459319999674335   750 
0.11856859999534208   800 
0.1777760999975726   950 
0.2221164999937173   1000 
0.41469819999474566   1250 
0.49578690000635106   1300 
0.8109238999895751   1400 
0.7801418000017293   1500 
1.2434685000043828   1650 
1.9586662000074284   1850 
2.0723552999988897   1950 
2.014477099990472   2000 
2.190631999998004   2100 
3.341948900007992   2400 
8.122079299995676   3300 
21.260100499988766   4600 
27.468163500001538   5000 
0.01471599999058526   3 
0.0001618999958736822   7 
0.00013980000221636146   10 
0.0005323000077623874   20 
0.0006277000065892935   50 
0.0006670000002486631   70 
0.000790300007793121   85 
0.0015512999962083995   100 
0.0031402000022353604   150 
0.0065294999949401245   200 
0.007173199992394075   250 
0.014186100001097657   300 
0.02589399999123998   400 
0.03584670000418555   500 
0.10650409999652766   750 
0.1282428999984404   800 
0.2876972000085516   950 
0.3181354999978794   1000 
0.444525099999737   1250 
0.5297924999904353   1300 
0.6354662000085227   1400 
0.8999949999997625   1500 
1.06672570000228   1650 
1.5168410000042059   1850 
2.012959400002728   1950 
2.0468677999888314   2000 
2.846433500002604   2100 
3.707171499991091   2400 
10.129793700005393   3300 
21.581611800007522   4600 
26.76424709999992   5000 
0.012023600007523783   3 
0.00016460000188089907   7 
0.0001545999984955415   10 
0.00012540000898297876   20 
0.00042150000808760524   50 
0.0006103000050643459   70 
0.000788499994087033   85 
0.001556900009745732   100 
0.002677399999811314   150 
0.004492399995797314   200 
0.008822500007227063   250 
0.011010100002749823   300 
0.021256499996525235   400 
0.0332295999978669   500 
0.09129460000258405   750 
0.11850549999508075   800 
0.21693849998700898   950 
0.24685260000114795   1000 
0.5542731000023196   1250 
0.5400923999986844   1300 
0.6026437999971677   1400 
0.9347459999989951   1500 
1.0235113000089768   1650 
1.5899907999992138   1850 
2.1129516000073636   1950 
2.4954896999988705   2000 
2.3140190999984043   2100 
3.111889699997846   2400 
8.136498899999424   3300 
21.5975480999914   4600 
27.909969300002558   5000 
0.010813799992320128   3 
0.00018590000399854034   7 
0.00011269999959040433   10 
0.0008911999902920797   20 
0.0005683000053977594   50 
0.0008168999920599163   70 
0.001032100000884384   85 
0.0013514000020222738   100 
0.0024790999887045473   150 
0.005622699987725355   200 
0.008010100005776621   250 
0.012710499999229796   300 
0.027967800007900223   400 
0.03764710000541527   500 
0.10118909999437165   750 
0.11981340000056662   800 
0.19130540000332985   950 
0.2650415000098292   1000 
0.5379666999942856   1250 
0.5758989000023575   1300 
0.7881319000007352   1400 
0.8364163999940502   1500 
1.2377187000092817   1650 
1.6220839000015985   1850 
1.7180160999996588   1950 
2.1431096000014804   2000 
2.3712167000048794   2100 
3.4293677999958163   2400 
8.384158000000753   3300 
21.469602600001963   4600 
29.495399099992937   5000 
0.014232000001356937   3 
0.0001534000039100647   7 
0.00011680000170599669   10 
0.0003124999930150807   20 
0.0004606000002240762   50 
0.0016073000006144866   70 
0.0011402999953133985   85 
0.0014764999941689894   100 
0.0026228000060655177   150 
0.006420300007448532   200 
0.007970300008310005   250 
0.012931700010085478   300 
0.025509200000669807   400 
0.03987000000779517   500 
0.11634730000514537   750 
0.12923950000549667   800 
0.17654689999471884   950 
0.20973090000916272   1000 
0.5522207000030903   1250 
0.5709816000016872   1300 
0.6955618999927538   1400 
0.79845089999435   1500 
1.0901322999998229   1650 
1.5356968000123743   1850 
2.315458500001114   1950 
2.2331612999987556   2000 
2.386677400005283   2100 
3.4939143999945372   2400 
8.222632999997586   3300 
21.59294800000498   4600 
27.017637600001763   5000 
0.018127999996067956   3 
0.00024750000739004463   7 
0.00017939999816007912   10 
0.00019199999223928899   20 
0.0005004000122426078   50 
0.0006662000087089837   70 
0.004936299999826588   85 
0.001524999999674037   100 
0.008987100009107962   150 
0.004655299999285489   200 
0.011530300005688332   250 
0.013208999997004867   300 
0.021615199992083944   400 
0.03579429999808781   500 
0.10586720000719652   750 
0.1388308000023244   800 
0.2312376000045333   950 
0.18988489999901503   1000 
0.49753249999776017   1250 
0.5654229000065243   1300 
0.7015115999965928   1400 
0.7436485000071116   1500 
1.0980904000025475   1650 
1.6550281999952858   1850 
1.6923543000011705   1950 
1.893740900006378   2000 
2.1337344000057783   2100 
3.255651700004819   2400 
8.465078499997617   3300 
22.28347899999062   4600 
27.004036999991513   5000 
0.012282800002139993   3 
0.00024090000079013407   7 
0.0001635999942664057   10 
0.00021270000434014946   20 
0.0005829000001540408   50 
0.0008402999956160784   70 
0.0010837000008905306   85 
0.0028879000019514933   100 
0.0032325999927707016   150 
0.008471499997540377   200 
0.012780800010659732   250 
0.016081199995824136   300 
0.03150469998945482   400 
0.043205900001339614   500 
0.10428600000159349   750 
0.11353269999381155   800 
0.1975137999979779   950 
0.25750049999624025   1000 
0.5709859000053257   1250 
0.5066042999969795   1300 
0.6847558000008576   1400 
0.9326185999962036   1500 
1.046456500000204   1650 
1.6207509000087157   1850 
2.047358700001496   1950 
2.217642600007821   2000 
2.8129738999996334   2100 
3.5599186000035843   2400 
7.959394799996517   3300 
21.167183300000033   4600 
26.952240200000233   5000 
