Tiempo eigh[s]    Tamaño 
0.017449199993279763   3 
0.0001694999955361709   7 
0.0001762000028975308   10 
0.0002010000025620684   20 
0.0004287999909138307   50 
0.0006197999900905415   70 
0.0008225999918067828   85 
0.003928999998606741   100 
0.0035139999963575974   150 
0.004501399991568178   200 
0.010346399998525158   250 
0.01366029999917373   300 
0.02380999999877531   400 
0.03971359999559354   500 
0.11820319999242201   750 
0.15466499999456573   800 
0.21712570000090636   950 
0.27392809999582823   1000 
0.8799480000016047   1250 
0.4572872999997344   1300 
0.6032619999896269   1400 
1.0360152999928687   1500 
0.9923494999966351   1650 
1.531720300001325   1850 
1.7931523000006564   1950 
1.8411045000102604   2000 
2.127843299997039   2100 
3.202180199994473   2400 
7.610588199997437   3300 
20.992829199996777   4600 
26.04604329999711   5000 
0.013939399999799207   3 
0.0002601000014692545   7 
0.00019720000273082405   10 
0.0002576000115368515   20 
0.0009516999998595566   50 
0.0010132000024896115   70 
0.001192399999126792   85 
0.0025963999942177907   100 
0.0036494000087259337   150 
0.0065045999945141375   200 
0.01083729999663774   250 
0.012341900001047179   300 
0.02205580000008922   400 
0.03530359998694621   500 
0.11884299998928327   750 
0.1162932000006549   800 
0.19065790000604466   950 
0.2274226000008639   1000 
0.5696260000113398   1250 
0.4991103999927873   1300 
0.6787565999984508   1400 
0.8193530999997165   1500 
0.9553324000007706   1650 
1.559947399990051   1850 
1.7727872999967076   1950 
1.8010347000090405   2000 
2.1857220999954734   2100 
4.078379099999438   2400 
9.651047299994389   3300 
20.42877499999304   4600 
26.685414699997636   5000 
0.01673179998761043   3 
0.00023349998809862882   7 
0.0002908000024035573   10 
0.00028300000121816993   20 
0.0005671000108122826   50 
0.0008868000004440546   70 
0.0013699999981326982   85 
0.001455199992051348   100 
0.002748099999735132   150 
0.008076900005107746   200 
0.016782500009867363   250 
0.020556300005409867   300 
0.02376179999555461   400 
0.04598690000420902   500 
0.21531219998723827   750 
0.1678377000062028   800 
0.24006690000533126   950 
0.218945700005861   1000 
0.405737399996724   1250 
0.5505677000037394   1300 
0.8014910000056261   1400 
0.7945462000061525   1500 
1.3565547000034712   1650 
1.7774781000043731   1850 
1.9023729999898933   1950 
1.7834681999956956   2000 
2.129645900000469   2100 
2.9601392000040505   2400 
7.830237799993483   3300 
20.758407900008024   4600 
25.692324300005566   5000 
0.014537199996993877   3 
0.00025349999486934394   7 
0.00015949999215081334   10 
0.0001500000071246177   20 
0.0004023999936180189   50 
0.000730999992811121   70 
0.0008500000112690032   85 
0.002303300003404729   100 
0.0030224999936763197   150 
0.005823900006362237   200 
0.010136400000192225   250 
0.015161500006797723   300 
0.03135820000898093   400 
0.04147419999935664   500 
0.10839059999852907   750 
0.12033740000333637   800 
0.2450204000051599   950 
0.29335410000931006   1000 
0.40255420000175945   1250 
0.47784479999972973   1300 
0.6697429000050761   1400 
0.7886454999970738   1500 
1.060094599990407   1650 
1.5253687000076752   1850 
1.72744309999689   1950 
1.9427476999990176   2000 
2.3037919999915175   2100 
3.4295971999963513   2400 
7.886468099997728   3300 
20.77292740000121   4600 
27.20987469999818   5000 
0.01218610000796616   3 
0.00023089999740477651   7 
0.0001664000010350719   10 
0.0002089000045089051   20 
0.0024046000035014004   50 
0.0009123999916482717   70 
0.0010129000002052635   85 
0.0010855000000447035   100 
0.00237649999326095   150 
0.004601599997840822   200 
0.006735700007993728   250 
0.01182390000030864   300 
0.024643099997774698   400 
0.04027519999362994   500 
0.11300529999425635   750 
0.13761419999354985   800 
0.3015824000030989   950 
0.37524920000578277   1000 
0.445356800002628   1250 
0.4938395999924978   1300 
0.7163965000072494   1400 
0.736154499987606   1500 
0.9992629999906057   1650 
1.4806320999923628   1850 
1.8857930999947712   1950 
2.040883499998017   2000 
2.2869819000043208   2100 
3.7169995000003837   2400 
7.686343900000793   3300 
22.222357699996792   4600 
26.252630300004967   5000 
0.01348629999847617   3 
0.0004487999976845458   7 
0.00030989998776931316   10 
0.0003664999967440963   20 
0.0007573000038973987   50 
0.0009748000011313707   70 
0.0013630000030389056   85 
0.0017251999961445108   100 
0.002649900008691475   150 
0.005566100007854402   200 
0.023639799997908995   250 
0.016170500006410293   300 
0.029728900000918657   400 
0.05464139999821782   500 
0.17462049999448936   750 
0.21092340000905097   800 
