Tiempo eigh[s]    Tamaño 
0.36519090000365395   3 
0.0004917999904137105   7 
0.0003868999920086935   10 
0.00046159999328665435   20 
0.11032870000053663   50 
0.0409600999992108   70 
0.0020708000083686784   85 
0.0024141000030795112   100 
0.1357659000059357   150 
0.08374339999863878   200 
0.02068110000982415   250 
0.01602890000503976   300 
0.03372579999268055   400 
0.03691670000262093   500 
0.2284096000075806   750 
0.2693892999959644   800 
0.41406900000583846   950 
0.3481733000080567   1000 
0.6998598999925889   1250 
0.8959948999981862   1300 
1.025040699998499   1400 
1.3044166999898152   1500 
1.7925093000085326   1650 
2.8649793999938993   1850 
3.42370430000301   1950 
3.8618469000066398   2000 
3.959341999987373   2100 
5.572136100003263   2400 
13.234028999999282   3300 
34.48962290000054   4600 
43.11078770000313   5000 
0.03746379999211058   3 
0.000225800002226606   7 
0.00017269999079871923   10 
0.0002496000088285655   20 
0.0010448999964864925   50 
0.0013682999997399747   70 
0.001944299991009757   85 
0.004809599995496683   100 
0.005353200001991354   150 
0.008856300002662465   200 
0.022242200007895008   250 
0.0256325999944238   300 
0.026417400003992952   400 
0.06604019999213051   500 
0.20691099998657592   750 
0.305072500006645   800 
0.5016985999973258   950 
0.4575388000084786   1000 
0.8724476000061259   1250 
0.8594706000003498   1300 
1.1097676000063075   1400 
1.4636071000131778   1500 
2.0593660000013188   1650 
2.6734857999981614   1850 
2.9598243000073126   1950 
3.387960899999598   2000 
3.8751171999902   2100 
5.5044042999943485   2400 
13.302999300009105   3300 
40.171154800002114   4600 
47.011383200006094   5000 
0.03021959999750834   3 
0.0002451999898767099   7 
0.00018099999579135329   10 
0.00023009999131318182   20 
0.0006822000141255558   50 
0.0019945999956689775   70 
0.002575500009697862   85 
0.003090899990638718   100 
0.004538399996818043   150 
0.01060460000007879   200 
0.017145799996796995   250 
0.017962700003408827   300 
0.042683599996962585   400 
0.054776399992988445   500 
0.21075480000581592   750 
0.2708767000003718   800 
0.43159819999709725   950 
0.5803410000080476   1000 
1.0097056000086013   1250 
1.2331479000131367   1300 
1.2461744000029285   1400 
1.5432065000059083   1500 
2.205752699999721   1650 
2.8643077000015182   1850 
3.095277200001874   1950 
3.614085299996077   2000 
4.488652400003048   2100 
6.104565800007549   2400 
15.68665879999753   3300 
37.72731879999628   4600 
45.90956620000361   5000 
0.03216509999765549   3 
0.0009876999974949285   7 
0.0002535999956307933   10 
0.00026050000451505184   20 
0.0008126000029733405   50 
0.0009652000007918105   70 
0.004401400001370348   85 
0.001735700003337115   100 
0.011628799999016337   150 
0.008883100003004074   200 
0.008471300010569394   250 
0.023204600001918152   300 
0.04396360000828281   400 
0.1258525000012014   500 
0.2110443999990821   750 
0.273784600009094   800 
0.45214569999370724   950 
0.4729217999993125   1000 
1.0223471000063   1250 
1.0682355999888387   1300 
1.5962206999975024   1400 
1.7659085000050254   1500 
3.279774400012684   1650 
3.2727199000073597   1850 
3.191568800000823   1950 
3.331599400000414   2000 
4.737525499993353   2100 
6.0217804000130855   2400 
16.730310400002054   3300 
32.231434200002695   4600 
39.69143609999446   5000 
0.03323270000691991   3 
0.00016630000027362257   7 
0.00013420000323094428   10 
0.00018570000247564167   20 
