Tiempo solve[s]    Tamaño 
0.00036130000080447644   3 
0.0002564000023994595   7 
0.00033480000274721533   10 
0.00053039999329485   20 
0.0012445000029401854   50 
0.0008811999869067222   70 
0.0008680000028107315   85 
0.001455199992051348   100 
0.0017745000077411532   150 
0.002732699998887256   200 
0.006476399998064153   250 
0.003730100012035109   300 
0.006177200004458427   400 
0.010690099996281788   500 
0.02092399999673944   750 
0.021410500005003996   800 
0.03164309999556281   950 
0.044163600003230385   1000 
0.05671030000667088   1250 
0.08739770000101998   1400 
0.10053640000114683   1500 
0.15195279999170452   1650 
0.2277612999896519   1850 
0.2500369000044884   1950 
0.32872910000151023   2000 
0.38109480000275653   2400 
0.9304204999934882   3300 
2.1329600000026403   4600 
2.655767599993851   5000 
7.792268299992429   7500 
17.681536399992183   10000 
0.0008077999955276027   3 
0.0004008999967481941   7 
0.0007246000022860244   10 
0.0006129000103101134   20 
0.0010750999936135486   50 
0.0014644000038970262   70 
0.001186599998618476   85 
0.002905300003476441   100 
0.002009200004977174   150 
0.002336899997317232   200 
0.0023710999957984313   250 
0.003971400001319125   300 
0.004711400004453026   400 
0.011232699995161965   500 
0.02249390000361018   750 
0.025503900003968738   800 
0.04025479999836534   950 
0.04617159999907017   1000 
0.07530900000710972   1250 
0.09538050000264775   1400 
0.12261609999404754   1500 
0.1512661000015214   1650 
0.2160427999915555   1850 
0.23346350000065286   1950 
0.23815499999909662   2000 
0.41524819999176543   2400 
0.9474499999923864   3300 
2.2186865999974543   4600 
2.713446300011128   5000 
8.152806199999759   7500 
17.28898620000109   10000 
0.0006969999958528206   3 
0.0004530000005615875   7 
0.0005533000075956807   10 
0.0005126999894855544   20 
0.0008067000017035753   50 
0.0011488000018289313   70 
0.0022424999915529042   85 
0.0012886999902548268   100 
0.00218239999958314   150 
0.0022793999960413203   200 
0.003218899990315549   250 
0.00484929999220185   300 
0.006427600004826672   400 
0.00829630000225734   500 
0.021283899986883625   750 
0.026559499994618818   800 
0.03639680000196677   950 
0.04342849999375176   1000 
0.0649591999972472   1250 
0.09591899999941234   1400 
0.10185269999783486   1500 
0.15160080000350717   1650 
0.2176744000025792   1850 
0.2558162000059383   1950 
0.23979130000225268   2000 
0.37464559999352787   2400 
0.9600897000054829   3300 
2.190011600003345   4600 
2.6285190000053262   5000 
7.9607654999999795   7500 
17.20653320000565   10000 
0.0003530000103637576   3 
0.0002961999998660758   7 
0.00026199998683296144   10 
0.00039379998634103686   20 
0.0009256000048480928   50 
0.0010342999885324389   70 
0.0014882000104989856   85 
0.0013592999894171953   100 
0.0018771000031847507   150 
0.0033909000048879534   200 
0.0020336000015959144   250 
0.0033795000053942204   300 
0.005136299994774163   400 
0.0074804000032600015   500 
0.018599999995785765   750 
0.020503000007010996   800 
0.03275809998740442   950 
0.03443420000257902   1000 
0.06564780000189785   1250 
0.1011517000006279   1400 
0.1094574000017019   1500 
0.16085270000621676   1650 
0.20021149999229237   1850 
0.2631964999891352   1950 
0.23709320000489242   2000 
0.4171940999949584   2400 
0.9435922999982722   3300 
2.315058799998951   4600 
2.967371100006858   5000 
8.558897099996102   7500 
16.99994069999957   10000 
0.00034679999225772917   3 
0.00036529998760670424   7 
0.0008643999899504706   10 
0.0007657999958610162   20 
0.0009324999991804361   50 
0.001028700004098937   70 
0.0015075999981490895   85 
0.0009818000107770786   100 
0.001619700007722713   150 
0.002098400000249967   200 
0.0028328999906079844   250 
0.0020106000010855496   300 
0.004174599991529249   400 
0.006643700005952269   500 
0.02057730000524316   750 
0.019267800002126023   800 
0.04377730000123847   950 
0.033691099990392104   1000 
0.06466489999729674   1250 
0.08740200000465848   1400 
0.10206750000361353   1500 
0.15116210000996944   1650 
0.21564379999472294   1850 
0.22723340000084136   1950 
0.23068540000531357   2000 
0.39472830000158865   2400 
0.9053120000025956   3300 
2.1515354000002844   4600 
2.648483600001782   5000 
8.188433699993766   7500 
18.332013000006555   10000 
0.00037179999344516546   3 
0.00027129999944008887   7 
0.0004200999974273145   10 
0.0005594999965978786   20 
0.0006754000060027465   50 
0.0015912000089883804   70 
0.0014201000012690201   85 
0.0015357999945990741   100 
0.002204899996286258   150 
0.0032084999984363094   200 
0.003654400003142655   250 
0.003553599992301315   300 
0.012132200004998595   400 
0.005980200003250502   500 
0.022680099995341152   750 
0.025052800003322773   800 
0.04292429999622982   950 
0.042540399997960776   1000 
0.06664200000523124   1250 
0.09372740000253543   1400 
0.12108240000088699   1500 
0.13747120001062285   1650 
0.21347550000064075   1850 
0.2539533999952255   1950 
0.26011029999062885   2000 
0.36966409999877214   2400 
0.9945944999926724   3300 
2.2095989999943413   4600 
2.781370500000776   5000 
8.140913600000204   7500 
17.83480490000511   10000 
0.0006173000001581386   3 
0.00039590000233147293   7 
0.0007157999934861436   10 
0.0012398999970173463   20 
0.000570699994568713   50 
0.0013689999905182049   70 
0.001108099997509271   85 
0.00108380000165198   100 
0.002933700001449324   150 
0.0026658999995561317   200 
0.0031505999941146   250 
0.0034872999967774376   300 
0.005216700010350905   400 
0.007367400001385249   500 
0.021184699988225475   750 
0.024404700001468882   800 
0.0357642000017222   950 
0.03640850000374485   1000 
0.07815050000499468   1250 
0.10102329999790527   1400 
0.1075083000032464   1500 
0.16285619999689516   1650 
0.21061170000757556   1850 
0.27237990000867285   1950 
0.23704319998796564   2000 
0.41908380000677425   2400 
0.9287608000013279   3300 
2.195623399995384   4600 
2.738282899998012   5000 
8.152408800000558   7500 
17.930413399997633   10000 
0.0006642000080319121   3 
0.0004915000026812777   7 
0.0005742999928770587   10 
0.000781700000516139   20 
0.0008852000028127804   50 
0.00498410000000149   70 
0.0011360000062268227   85 
0.002253700004075654   100 
0.002323000007891096   150 
0.00251649999700021   200 
0.002799100009724498   250 
0.0038176000089151785   300 
0.005499400009284727   400 
0.00710350000008475   500 
0.02070829999865964   750 
0.021562199995969422   800 
0.05138999999326188   950 
0.036138700001174584   1000 
0.06869379999989178   1250 
0.08484879999014083   1400 
0.10333369999716524   1500 
0.15795830001297873   1650 
0.22666759999992792   1850 
0.24484170001232997   1950 
0.2555916999990586   2000 
0.4293982999952277   2400 
0.9536539999971865   3300 
2.2042126000014832   4600 
2.7691926999978023   5000 
8.474374599987641   7500 
17.068155300003127   10000 
0.0006181000062497333   3 
0.0003974999999627471   7 
0.0005088000034447759   10 
0.0005655999993905425   20 
0.0009919000003719702   50 
0.0010048999974969774   70 
0.0014817999908700585   85 
0.001108099997509271   100 
0.0022360000002663583   150 
0.0021280000073602423   200 
0.00322030000097584   250 
0.005931099993176758   300 
0.0060717999876942486   400 
0.007947799997054972   500 
0.022550300011062063   750 
0.02547249999770429   800 
0.03334530000574887   950 
0.029599200002849102   1000 
0.06660459999693558   1250 
0.09415929998795036   1400 
0.09921630000462756   1500 
0.13803279999410734   1650 
0.20750370000314433   1850 
0.2520633999956772   1950 
0.24303740001050755   2000 
0.3875465000019176   2400 
0.9017366999905789   3300 
2.1062183000030927   4600 
2.565033199993195   5000 
7.574902099993778   7500 
16.876621999996132   10000 
0.0006293000042205676   3 
0.00038019999919924885   7 
0.0004613999917637557   10 
0.0006637000042246655   20 
0.000832499994430691   50 
0.000857399994856678   70 
0.0010715000098571181   85 
0.0012779999960912392   100 
0.002504199990653433   150 
0.0025931999989552423   200 
0.004114700001082383   250 
0.003936900000553578   300 
0.010261799994623289   400 
0.013870599999791011   500 
0.020479800004977733   750 
0.021949199988739565   800 
0.028946499995072372   950 
0.03865329999825917   1000 
0.09293290000641719   1250 
0.0851396000070963   1400 
0.0909927000029711   1500 
0.17061000000103377   1650 
0.1995290000049863   1850 
0.233258799999021   1950 
0.23714339999423828   2000 
0.4508715999982087   2400 
0.8577320000040345   3300 
2.114542299997993   4600 
2.541066999998293   5000 
7.681297800008906   7500 
16.96067210000183   10000 
