Tiempo solve[s]    Tamaño 
0.017916600001626648   3 
0.00023330000112764537   7 
0.00018059999274555594   10 
0.0004225000011501834   20 
0.0004793999978573993   50 
0.0007111000013537705   70 
0.0008984000014606863   85 
0.0008489999891025946   100 
0.007228000002214685   150 
0.001654799998505041   200 
0.0020200999861117452   250 
0.005684400006430224   300 
0.006005100003676489   400 
0.011693400010699406   500 
0.036532500002067536   750 
0.051619900012155995   800 
0.06526560000202153   950 
0.07553400000324473   1000 
0.1414461999956984   1250 
0.18816289999813307   1400 
0.19934599999396596   1500 
0.4412766999885207   1650 
0.39883150000241585   1850 
0.441385199999786   1950 
0.4819939000008162   2000 
0.8816604999883566   2400 
1.8635714999982156   3300 
3.646742199998698   4600 
4.410356299995328   5000 
13.286029599999893   7500 
29.825724599999376   10000 
0.0009542999905534089   3 
0.00018840000848285854   7 
0.00027629999385681003   10 
0.0003581999917514622   20 
0.000600800005486235   50 
0.00037730000622104853   70 
0.0012388000031933188   85 
0.0006443000020226464   100 
0.00068450000253506   150 
0.0008724000072106719   200 
0.0022317999973893166   250 
0.0033204000064870343   300 
0.007097900001099333   400 
0.015031200004159473   500 
0.041246399996452965   750 
0.04056879998825025   800 
0.056196699995780364   950 
0.08287539999582805   1000 
0.11335529999632854   1250 
0.1583087000035448   1400 
0.2056214999902295   1500 
0.23988680000184104   1650 
0.3347782000055304   1850 
0.41857349999190774   1950 
0.37712119999923743   2000 
0.7170030000124825   2400 
1.5429945999931078   3300 
4.1595586000039475   4600 
4.810200000007171   5000 
12.648145800005295   7500 
29.41546579998976   10000 
0.00023400000645779073   3 
0.00017330000991933048   7 
0.00019489999976940453   10 
0.00019200000679120421   20 
0.0004958999925293028   50 
0.0006068000075174496   70 
0.0006236000044737011   85 
0.002143000005162321   100 
0.001363400006084703   150 
0.001535100003820844   200 
0.0063603000016883016   250 
0.002737900009378791   300 
0.007409000012557954   400 
0.014122499997029081   500 
0.03293209998810198   750 
0.036774799998966046   800 
0.06969119999848772   950 
0.07270760000392329   1000 
0.13086150000162888   1250 
0.15393590000167023   1400 
0.22594100001151673   1500 
0.25163440000324044   1650 
0.3630952000094112   1850 
0.472237199996016   1950 
0.4040981999860378   2000 
0.6538719999953173   2400 
1.5085605000058422   3300 
3.5150553999992553   4600 
4.458830499992473   5000 
13.271381999991718   7500 
31.046455100004096   10000 
0.000345199994626455   3 
0.000182100004167296   7 
0.00046039999870117754   10 
0.0003614000015659258   20 
0.0002702000056160614   50 
0.00036380000528879464   70 
0.0006390999915311113   85 
0.0006961000035516918   100 
0.0010116000048583373   150 
0.0018038999987766147   200 
0.00155639999138657   250 
0.0026799000042956322   300 
0.005789199989521876   400 
0.01513600000180304   500 
0.038598600003751926   750 
0.04480689999763854   800 
0.06078819998947438   950 
0.07071620000351686   1000 
0.1337404000078095   1250 
0.15076479999697767   1400 
0.1833974000037415   1500 
0.24350450000201818   1650 
0.3467492000054335   1850 
0.35221769999770913   1950 
0.3715292999986559   2000 
0.5945678999996744   2400 
1.4120982000022195   3300 
3.321519499993883   4600 
4.327725700000883   5000 
13.0678012999997   7500 
33.00911939999787   10000 
0.0002572000084910542   3 
0.00031289999606087804   7 
0.00044069999421481043   10 
0.0003501999890431762   20 
0.00030479999259114265   50 
0.0010030000121332705   70 
0.0005227999936323613   85 
0.0006889000069350004   100 
0.0022403999901143834   150 
0.0010026000090874732   200 
0.001416999992216006   250 
0.002852699995855801   300 
0.006193399996845983   400 
0.012951700002304278   500 
0.06228670000564307   750 
0.036946599997463636   800 
0.059189399995375425   950 
0.06648429999768268   1000 
0.11798509999061935   1250 
0.17724350000207778   1400 
0.20974679999926593   1500 
0.26734619999479037   1650 
0.3570596000063233   1850 
0.5236234000039985   1950 
0.4406329000048572   2000 
0.6928677999967476   2400 
1.6612682999984827   3300 
3.495520000011311   4600 
4.148798199996236   5000 
12.742041399993468   7500 
30.114390799994   10000 
0.0004886999959126115   3 
0.0005315000016707927   7 
0.0003880000003846362   10 
0.0005001000099582598   20 
0.0009405000018887222   50 
0.000854600002639927   70 
0.0073247000109404325   85 
0.0021492000087164342   100 
0.0028480000037234277   150 
0.0031679000094300136   200 
0.002588700008345768   250 
0.0026255999982822686   300 
0.008674700002302416   400 
0.012601499998709187   500 
0.02776599999924656   750 
0.030195900006219745   800 
0.05522009999549482   950 
0.10657069999433588   1000 
0.13614430000598077   1250 
0.1613369000115199   1400 
0.2027072000055341   1500 
0.2646564999886323   1650 
0.3893439999956172   1850 
0.375847099989187   1950 
0.4147681000031298   2000 
0.6467543000035221   2400 
1.4317236999922898   3300 
3.5813371000112966   4600 
4.334338400003617   5000 
12.511806099995738   7500 
32.31576330000826   10000 
0.00034949999826494604   3 
0.00022199998784344643   7 
0.00020220001169946045   10 
0.00040749998879618943   20 
0.0004344000044511631   50 
0.004694000002928078   70 
0.0009541000035824254   85 
0.0023250000085681677   100 
0.0028460999892558903   150 
0.0033183999912580475   200 
0.0031454999989364296   250 
0.005265200001304038   300 
0.009098700000322424   400 
0.01006309999502264   500 
0.03759849999914877   750 
0.04470189999847207   800 
0.0693431999970926   950 
0.07683559998986311   1000 
0.122774000003119   1250 
0.2071278999937931   1400 
0.2070435999921756   1500 
0.2887308000063058   1650 
0.4014997000049334   1850 
0.4144696000003023   1950 
0.5008052000048338   2000 
0.7790776000038022   2400 
1.648620000007213   3300 
3.967379900001106   4600 
4.4486049999977695   5000 
13.968881300010253   7500 
29.261733899998944   10000 
0.000563900000997819   3 
0.00033540000731591135   7 
0.0003274999908171594   10 
0.00034699999378062785   20 
0.00038810000114608556   50 
0.0007456000021193177   70 
0.001082899994798936   85 
0.0017694999987725168   100 
0.0013072999863652512   150 
0.0032008000125642866   200 
0.00253129999327939   250 
0.010252500011119992   300 
0.004488699996727519   400 
0.009040699995239265   500 
0.035002199991140515   750 
0.04372929999954067   800 
0.055529099990963005   950 
0.07232720000320114   1000 
0.12070340001082513   1250 
0.2050939000037033   1400 
0.1825754000019515   1500 
0.2455587000004016   1650 
0.3786019999970449   1850 
0.38681729999370873   1950 
0.35641409999516327   2000 
0.6620796000061091   2400 
1.4371755000029225   3300 
3.484299399991869   4600 
4.187338899995666   5000 
13.079257400007918   7500 
29.848053399997298   10000 
0.0002590999938547611   3 
0.0002764000091701746   7 
0.0003048000071430579   10 
0.00028300000121816993   20 
0.0003704999980982393   50 
0.0007602999976370484   70 
0.000977099989540875   85 
0.0004298999992897734   100 
0.0008003999973880127   150 
0.002450999993016012   200 
0.001495499993325211   250 
0.0037532999995164573   300 
0.010344399997848086   400 
0.015283100001397543   500 
0.04168160000699572   750 
0.03648650000104681   800 
0.05547609999484848   950 
0.06420650001382455   1000 
0.11058500000217464   1250 
0.158181799997692   1400 
0.18579799999133684   1500 
0.2404582000017399   1650 
0.3254023000044981   1850 
0.39920010000059847   1950 
0.39168549999885727   2000 
0.6813670999981696   2400 
1.463505099993199   3300 
3.581684500008123   4600 
4.2934171999950195   5000 
12.972674499993445   7500 
31.714879099992686   10000 
0.0002474999928381294   3 
0.00021690000721719116   7 
0.00019550000433810055   10 
0.0005517999961739406   20 
0.0006505999917862937   50 
0.0006043000030331314   70 
0.0006668999994872138   85 
0.0004600999964168295   100 
0.0011851999879581854   150 
0.0010480000055395067   200 
0.0019231000042054802   250 
0.0054019000090193   300 
0.008829200000036508   400 
0.01004599999578204   500 
0.026702200004365295   750 
0.04739300000073854   800 
0.05861749999166932   950 
0.07172469999932218   1000 
0.12423950000084005   1250 
0.17342880000069272   1400 
0.193491099998937   1500 
0.2401819000078831   1650 
0.34534489999350626   1850 
0.37945539999054745   1950 
0.37930559999949764   2000 
0.61217310000211   2400 
1.450009799998952   3300 
3.5514442999992752   4600 
4.259072200002265   5000 
13.724267699988559   7500 
31.008315500002936   10000 
