Tiempo solve[s]    Tamaño 
0.10978300000715535   3 
0.0003077000001212582   7 
0.00030499999411404133   10 
0.0005177999992156401   20 
0.009655400004703552   50 
0.02155269999639131   70 
0.0033691999997245148   85 
0.007983300005435012   100 
0.03951410000445321   150 
0.0023471000022254884   200 
0.0020000000076834112   250 
0.001709200005279854   300 
0.0028069999971194193   400 
0.00531010000850074   500 
0.012925899995025247   750 
0.011908599990420043   800 
0.02001659999950789   950 
0.021043200002168305   1000 
0.04379729999345727   1250 
0.04708540000137873   1400 
0.05318019998958334   1500 
0.13154460000805557   1650 
0.11884959999588318   1850 
0.17677339998772368   1950 
0.1437309000029927   2000 
0.33495079999556765   2400 
0.4927160999941407   3300 
1.2082108999893535   4600 
1.3098052999994252   5000 
3.772973200000706   7500 
8.44245650000812   10000 
0.0003294000052846968   3 
0.0002589999930933118   7 
0.00024280000070575625   10 
0.00018600000475998968   20 
0.00037230001180432737   50 
0.0006074999982956797   70 
0.000853999998071231   85 
0.0007186000002548099   100 
0.0009436999971512705   150 
0.0007125999982235953   200 
0.000825099996291101   250 
0.0011430000013206154   300 
0.0030989999941084534   400 
0.004320200008805841   500 
0.011680399999022484   750 
0.016630799989798106   800 
0.0230885000055423   950 
0.019551600009435788   1000 
0.04954719998931978   1250 
0.05289300000004005   1400 
0.062044499994954094   1500 
0.09264270000858232   1650 
0.12271320000581909   1850 
0.14136229999712668   1950 
0.14074560000153724   2000 
0.2455430999980308   2400 
0.4876681000023382   3300 
1.1069702000095276   4600 
1.3146704999962822   5000 
3.6835538999876007   7500 
7.9775305000075605   10000 
0.0009234000026481226   3 
0.0007427999953506514   7 
0.00022669999452773482   10 
0.00019069999689236283   20 
0.00039570000080857426   50 
0.0002761000068858266   70 
0.0005280999903334305   85 
0.0007621999975526705   100 
0.003979400004027411   150 
0.0021603999921353534   200 
0.001861199998529628   250 
0.0021338999940780923   300 
0.004695099996752106   400 
0.004897200007690117   500 
0.013374200003454462   750 
0.0223346999991918   800 
0.02557689999230206   950 
0.029514299996662885   1000 
0.05227129999548197   1250 
0.06177489999390673   1400 
0.09703970000555273   1500 
0.1058642999996664   1650 
0.14284020000195596   1850 
0.15210490000026766   1950 
0.1540501999988919   2000 
0.2974358000064967   2400 
0.47919769999862183   3300 
1.1972411000024294   4600 
1.4751714000012726   5000 
3.754492099993513   7500 
8.26038239999616   10000 
0.0002865999995265156   3 
0.0004307000053813681   7 
0.0014045999996596947   10 
0.0006954000127734616   20 
0.0006434000097215176   50 
0.0007197999948402867   70 
0.0007833999989088625   85 
0.0009675999899627641   100 
0.0010445999942021444   150 
0.0012355999933788553   200 
0.001677599997492507   250 
0.002860100008547306   300 
0.0028960000054212287   400 
0.004237100001773797   500 
0.012717499994323589   750 
0.012945200011017732   800 
0.021294600010151044   950 
0.01919409999391064   1000 
0.04281719999562483   1250 
0.05279329999757465   1400 
0.0629655999946408   1500 
0.09655700001167133   1650 
0.11633019999135286   1850 
0.13774890000058804   1950 
0.1410399000014877   2000 
0.21592710001277737   2400 
0.5486016999930143   3300 
1.049168199999258   4600 
1.320069000008516   5000 
3.721887499996228   7500 
7.832415700002457   10000 
0.0003409000055398792   3 
0.00025070000265259296   7 
0.0002195999986724928   10 
0.00024140000459738076   20 
0.00024590000975877047   50 
0.0002845999988494441   70 
0.0003575000009732321   85 
0.0004064000095240772   100 
0.0009095999994315207   150 
0.0007209000032162294   200 
0.0021296000049915165   250 
0.0011672999971779063   300 
0.00284539999847766   400 
0.0043415000109234825   500 
0.009898500007693656   750 
0.01173949999792967   800 
0.020351300001493655   950 
0.021936599994660355   1000 
0.04227790000732057   1250 
0.06108289999247063   1400 
0.05919260000518989   1500 
0.07990110000537243   1650 
0.11686270000063814   1850 
0.1543017000076361   1950 
0.13464269999531098   2000 
0.21372450000490062   2400 
0.4864036000071792   3300 
1.097797399997944   4600 
1.339131799992174   5000 
4.184502100004465   7500 
7.973377700007404   10000 
0.0003654000029200688   3 
0.00020479998784139752   7 
0.0001984999980777502   10 
0.0003448000061325729   20 
0.0002631999959703535   50 
0.00031209998996928334   70 
0.000301799998851493   85 
0.00038559999666176736   100 
0.0005327999970177189   150 
0.0007669000042369589   200 
0.001405600007274188   250 
0.0016961999936029315   300 
0.0028252000047359616   400 
0.00460179999936372   500 
0.01263140000810381   750 
0.011480800007120706   800 
0.020666399999754503   950 
0.02098190000106115   1000 
0.035989099997095764   1250 
0.06243559998983983   1400 
0.06766429998970125   1500 
0.08350230001087766   1650 
0.11864909999712836   1850 
0.13936050000484101   1950 
0.15930610000214074   2000 
0.2225340999866603   2400 
0.49961220000113826   3300 
1.090373200000613   4600 
1.2799918999953661   5000 
3.6689646000013454   7500 
7.788663599989377   10000 
0.0002842999965650961   3 
0.0002741000062087551   7 
0.0011304999934509397   10 
0.00046490000386256725   20 
0.00046490000386256725   50 
0.0006411999929696321   70 
0.0007173999911174178   85 
0.0006634000019403175   100 
0.0010796999995363876   150 
0.0020724000059999526   200 
0.00254760000098031   250 
0.003137200008495711   300 
0.0026785000081872568   400 
0.00488779999432154   500 
0.010905100003583357   750 
0.010399599996162578   800 
0.021870600001420826   950 
0.029047599993646145   1000 
0.04101130001072306   1250 
0.06499780000012834   1400 
0.05543909998959862   1500 
0.07649990000936668   1650 
0.1214097999909427   1850 
0.14928409999993164   1950 
0.13214990000415128   2000 
0.2291216000012355   2400 
0.48934620000363793   3300 
1.0782771999947727   4600 
1.3505700999958208   5000 
3.661910299997544   7500 
7.925860999996075   10000 
0.0002598999999463558   3 
0.0002103000006172806   7 
0.0007029999978840351   10 
0.00048519999836571515   20 
0.0006659000064246356   50 
0.0003141999914078042   70 
0.0006343999993987381   85 
0.0007110000005923212   100 
0.0011251000105403364   150 
0.0014952000055927783   200 
0.002427600004011765   250 
0.004350999995949678   300 
0.003242799997678958   400 
0.00414479999744799   500 
0.010158999997656792   750 
0.012837100002798252   800 
0.03292100000544451   950 
0.02134680000017397   1000 
0.043251200011582114   1250 
0.06561210000654683   1400 
0.05975499999476597   1500 
0.08583650000218768   1650 
0.11939970000821631   1850 
0.16165380000893492   1950 
0.1426495000050636   2000 
0.23538180001196451   2400 
0.5055229999998119   3300 
1.1125964999955613   4600 
1.4083323999948334   5000 
3.9747898999921745   7500 
8.061120200000005   10000 
0.0006501000025309622   3 
0.00023359998886007816   7 
0.00016790001245681196   10 
0.0003870999935315922   20 
0.00039820000529289246   50 
0.00046379999548662454   70 
0.00037340000562835485   85 
0.000759599992306903   100 
0.001128700008848682   150 
0.0014421000087168068   200 
0.0019481999916024506   250 
