Tiempo solve[s]    Tamaño 
7.179999374784529e-05   3 
2.5000001187436283e-05   7 
1.5700003132224083e-05   10 
3.91000066883862e-05   20 
0.00013070000568404794   50 
0.00023770000552758574   70 
8.949999755714089e-05   85 
0.00011109998740721494   100 
0.00030670000705868006   150 
0.0002533999941078946   200 
0.00037429999792948365   250 
0.0008639000006951392   300 
0.0021720000077039003   400 
0.0015032000083010644   500 
0.0029513000044971704   750 
0.0033544000034453347   800 
0.004948300003889017   950 
0.006830600003013387   1000 
0.006807800004025921   1250 
0.010750699992058799   1400 
0.011242399996262975   1500 
0.014179299992974848   1650 
0.0165436000097543   1850 
0.017786600001272745   1950 
0.022652700004982762   2000 
0.025211700005456805   2400 
0.054439999992609955   3300 
0.10206570000445936   4600 
0.16350490000331774   5000 
0.25051969999913126   7500 
0.5612832000042545   10000 
0.11590140000043903   3 
1.9899991457350552e-05   7 
1.3299999409355223e-05   10 
1.4399993233382702e-05   20 
0.00016599999798927456   50 
0.0001154000055976212   70 
0.00011619999713730067   85 
0.00011199999426025897   100 
0.0003637000045273453   150 
0.00020709999080281705   200 
0.00015520000306423753   250 
0.0009677000052761286   300 
0.002344299995456822   400 
0.001809200010029599   500 
0.004299400010495447   750 
0.0033708999981172383   800 
0.0058359999966342   950 
0.00627389999863226   1000 
0.008451800007605925   1250 
0.01067059999331832   1400 
0.013703799995710142   1500 
0.014382599998498335   1650 
0.016690100004780106   1850 
0.019908600006601773   1950 
0.02202390000456944   2000 
0.029258199996547773   2400 
0.05239139999321196   3300 
0.10096429999975953   4600 
0.12790129998757038   5000 
0.32299509999575093   7500 
0.4132428000011714   10000 
0.1098346000071615   3 
1.0799994925037026e-05   7 
1.0299991117790341e-05   10 
1.0100004146806896e-05   20 
0.00011579999409150332   50 
0.00010720000136643648   70 
0.00017680000746622682   85 
0.0001630000042496249   100 
0.00024819999816827476   150 
0.00024870000197552145   200 
0.0003245999978389591   250 
0.0009154999861493707   300 
0.002551199999288656   400 
0.0016765000036684796   500 
0.003471699994406663   750 
0.003955399995902553   800 
0.004903000008198433   950 
0.006592199992155656   1000 
0.007233399999677204   1250 
0.011453800005256198   1400 
0.015878599995630793   1500 
0.011908600004971959   1650 
0.025183899997500703   1850 
0.019547700008843094   1950 
0.0226777000061702   2000 
0.02660759999707807   2400 
0.06151949999912176   3300 
0.09028509999916423   4600 
0.12182790000224486   5000 
0.2868138999911025   7500 
0.39956140000140294   10000 
0.11568960000295192   3 
1.4899997040629387e-05   7 
0.022580499993637204   10 
1.3100012438371778e-05   20 
0.00018279999494552612   50 
7.259999983943999e-05   70 
0.0002297000028192997   85 
0.00020559999393299222   100 
0.00024419999681413174   150 
0.0002680000034160912   200 
0.00028539999038912356   250 
0.0009854999952949584   300 
0.002166300007957034   400 
0.0017115999944508076   500 
0.0033128999930340797   750 
0.0035728000075323507   800 
0.004917199999908917   950 
0.005418499989900738   1000 
0.007089200007612817   1250 
0.01042240000970196   1400 
0.011781499997596256   1500 
0.012821600001188926   1650 
0.018009200008236803   1850 
0.019916599994758144   1950 
0.02280629999586381   2000 
0.02872190000198316   2400 
0.04801049998786766   3300 
0.11644430000160355   4600 
0.1555307999951765   5000 
0.2558182999928249   7500 
0.4645236000069417   10000 
0.10970760000054725   3 
1.4299992471933365e-05   7 
1.7099999240599573e-05   10 
1.069999416358769e-05   20 
0.00010109999857377261   50 
0.0001548000000184402   70 
8.759999764151871e-05   85 
0.00015890000213403255   100 
0.0003330999898025766   150 
0.00011870000162161887   200 
0.00020140000560786575   250 
0.0009711999882711098   300 
0.0021209999977145344   400 
0.001869200001237914   500 
0.0031165999971562997   750 
0.003712000005180016   800 
0.005082300005597062   950 
0.005229000002145767   1000 
0.0099393999989843   1250 
0.009788299998035654   1400 
0.012213900001370348   1500 
0.01825249999819789   1650 
0.017178799986140803   1850 
0.020825700004934333   1950 
0.022081300005083904   2000 
0.03015560000494588   2400 
0.050610299993422814   3300 
0.0960897000040859   4600 
0.12978420000581536   5000 
0.2950210999988485   7500 
0.4538386000058381   10000 
0.10242880000441801   3 
1.3700002455152571e-05   7 
7.46000005165115e-05   10 
1.610000617802143e-05   20 
0.00017389999993611127   50 
0.0001936999906320125   70 
0.0002201000024797395   85 
0.0001680999994277954   100 
0.00024390000908169895   150 
0.0006059000006644055   200 
0.00041680000140331686   250 
0.0007801999890943989   300 
0.0020151999924564734   400 
0.0014194999967003241   500 
0.0034387000050628558   750 
0.0036286999966250733   800 
0.005072399988421239   950 
0.005415399995399639   1000 
0.008328700001584366   1250 
0.010458300006575882   1400 
0.01205939998908434   1500 
0.011242599997785874   1650 
0.016655900006298907   1850 
0.0201392000017222   1950 
0.024271899994346313   2000 
0.025038100007805042   2400 
0.04898750000575092   3300 
0.08873040000617038   4600 
0.11316680000163615   5000 
0.23119029999361373   7500 
0.5612332999880891   10000 
0.13142589999188203   3 
1.7099999240599573e-05   7 
1.4200006262399256e-05   10 
1.3299999409355223e-05   20 
0.00013109999417793006   50 
0.000199399990378879   70 
0.00011300000187475234   85 
0.0003150999982608482   100 
0.000527299998793751   150 
0.0002553999947849661   200 
0.0003175000019837171   250 
0.0013252000062493607   300 
0.0027157000004081056   400 
0.001514800009317696   500 
0.004235999993397854   750 
0.004104000006918795   800 
0.006462599994847551   950 
0.006381600003805943   1000 
0.010919699998339638   1250 
0.012223600002471358   1400 
0.013632500005769543   1500 
0.018565999998827465   1650 
0.021031500000390224   1850 
0.026014199989731424   1950 
0.02377449999039527   2000 
0.03414639999391511   2400 
0.06479489999765065   3300 
0.13753239999641664   4600 
0.17514379999192897   5000 
0.3100369000021601   7500 
0.5823463999986416   10000 
0.1351143000065349   3 
1.6300007700920105e-05   7 
6.819999543949962e-05   10 
1.960000372491777e-05   20 
0.00040699999954085797   50 
0.00010679999832063913   70 
0.0002533999941078946   85 
0.00031099999614525586   100 
0.0005283999926177785   150 
0.00036920000275131315   200 
0.0004361000028438866   250 
0.0014110000047367066   300 
0.0033936000108951703   400 
0.001606499994522892   500 
0.003674699997645803   750 
0.00453449999622535   800 
0.005669100006343797   950 
0.006545299998833798   1000 
0.011883600003784522   1250 
0.013086000006296672   1400 
0.014157800003886223   1500 
0.020665999996708706   1650 
0.02351150001049973   1850 
0.029927499999757856   1950 
0.023218400005134754   2000 
0.03957220001029782   2400 
0.0602056000061566   3300 
0.12465169999632053   4600 
0.16677939999499358   5000 
0.30766970000695437   7500 
0.5566859999962617   10000 
0.12823719999869354   3 
1.3700002455152571e-05   7 
1.5300000086426735e-05   10 
2.3600005079060793e-05   20 
0.00034980000054929405   50 
0.00022370000078808516   70 
0.00015980000898707658   85 
0.00012670000432990491   100 
0.0003738999948836863   150 
0.00012060000153724104   200 
0.00024370000755880028   250 
0.0008268999954452738   300 
0.0021200000046519563   400 
0.0019029999966733158   500 
0.0030197000014595687   750 
0.004411599991726689   800 
0.005551700000069104   950 
0.00696129999414552   1000 
0.00968089999514632   1250 
0.013472100006765686   1400 
0.014172499999403954   1500 
0.01792310000746511   1650 
0.021837399996002205   1850 
0.02276979999442119   1950 
0.02330719999736175   2000 
0.03188870000303723   2400 
0.05821609999111388   3300 
0.11726569999882486   4600 
0.1581618000054732   5000 
0.3024890999950003   7500 
0.5288987000094494   10000 
0.12684029999945778   3 
1.3199998647905886e-05   7 
1.3800003216601908e-05   10 
2.0499996026046574e-05   20 
0.00011810001160483807   50 
4.339999577496201e-05   70 
0.00012809998588636518   85 
0.0002406999992672354   100 
0.0004574000049615279   150 
0.00039000000106170774   200 
0.0002632000105222687   250 
0.001015800007735379   300 
0.0026473000034457073   400 
0.0013777999993180856   500 
0.003236000004108064   750 
0.004072299998369999   800 
0.006392700001015328   950 
0.007948600003146566   1000 
0.00945720000891015   1250 
0.011438799992902204   1400 
0.012742400009301491   1500 
0.013528800001950003   1650 
0.028384999997797422   1850 
0.01728440000442788   1950 
0.024510599992936477   2000 
0.03217700000095647   2400 
0.06432060000952333   3300 
0.10437950000050478   4600 
0.1282301000028383   5000 
0.24976789999345783   7500 
0.44095069999457337   10000 
