Tiempo solve[s]    Tamaño 
0.12347210000734776   3 
0.0003127999952994287   7 
0.02787860001262743   10 
0.0006490999949164689   20 
0.0006015999970259145   50 
0.03274799999780953   70 
0.0011473000049591064   85 
0.04513579999911599   100 
0.023184499994385988   150 
0.0015063000028021634   200 
0.006867499992949888   250 
0.006775100002414547   300 
0.008254999993368983   400 
0.019322400010423735   500 
0.05485309999494348   750 
0.12425120000261813   800 
0.12429700000211596   950 
0.07588799999211915   1000 
0.2688698999991175   1250 
0.3760535000037635   1400 
0.2884286000044085   1500 
0.27537589998974   1650 
0.5103810000000522   1850 
0.46599159999459516   1950 
0.6052321000024676   2000 
0.6812964999990072   2400 
1.5374273000052199   3300 
3.159258299987414   4600 
4.304752099997131   5000 
13.872587199992267   7500 
28.3912691000005   10000 
0.00044499999785330147   3 
0.00034359999699518085   7 
0.0006182000070111826   10 
0.0003251999878557399   20 
0.0026068000006489456   50 
0.0009449999924981967   70 
0.0007942000083858147   85 
0.0008522999996785074   100 
0.0033281999931205064   150 
0.0010211000044364482   200 
0.0035500000085448846   250 
0.012530600011814386   300 
0.007707600001594983   400 
0.021400800003902987   500 
0.061237600006279536   750 
0.05696590000297874   800 
0.12042479999945499   950 
0.07485119999910239   1000 
0.1416128000128083   1250 
0.19607530000212137   1400 
0.19968520000111312   1500 
0.33494539999810513   1650 
0.38272790001065005   1850 
0.41088959999615327   1950 
0.432666299995617   2000 
0.7271871999982977   2400 
1.4603834000008646   3300 
3.2839789999998175   4600 
3.8556640000024345   5000 
11.45007129998703   7500 
27.885799499999848   10000 
0.0005932000058237463   3 
0.000788499994087033   7 
0.0005159000138519332   10 
0.0004239000118104741   20 
0.0005403000104706734   50 
0.0004431000124895945   70 
0.0008108000038191676   85 
0.0008958999969763681   100 
0.0012067999923601747   150 
0.0014356000028783455   200 
0.002096299998811446   250 
0.002520499998354353   300 
0.010930100004770793   400 
0.01589709999097977   500 
0.031483300001127645   750 
0.038228200006415136   800 
0.07275200000731274   950 
0.06781559999217279   1000 
0.15941949999250937   1250 
0.18787609999708366   1400 
0.19322780000220519   1500 
0.23631409999507014   1650 
0.39802169999165926   1850 
0.41250799999397714   1950 
0.4558367999998154   2000 
0.5749051999882795   2400 
1.424623500002781   3300 
3.2959325999981957   4600 
3.9224145999905886   5000 
11.725646899998537   7500 
27.379357400001027   10000 
0.0004025000089313835   3 
0.00025370001094415784   7 
0.0006540000031236559   10 
0.00032190000638365746   20 
0.00032550000469200313   50 
0.0003767999878618866   70 
0.0004778000002261251   85 
0.005054199995356612   100 
0.0022155000042403117   150 
0.0023533999919891357   200 
0.003201900006388314   250 
0.003938299996661954   300 
0.012020599999232218   400 
0.013838200000463985   500 
0.03959919999761041   750 
0.04760209999221843   800 
0.09061210000072606   950 
0.07078660000115633   1000 
0.13005440001143143   1250 
0.1755237000033958   1400 
0.21313079999526963   1500 
0.24580809999315534   1650 
0.38185629999497905   1850 
0.4286522999900626   1950 
0.4563703000021633   2000 
0.6002208999998402   2400 
1.4111302999954205   3300 
3.517624500003876   4600 
5.402903900001547   5000 
13.003095400010352   7500 
27.50261809999938   10000 
0.0003251000016462058   3 
0.0002294000005349517   7 
0.00022370000078808516   10 
0.00024189999385271221   20 
0.0006161999917821959   50 
0.02883260000089649   70 
0.000708499996108003   85 
0.0010819000017363578   100 
0.0022099999914644286   150 
0.0015450999926542863   200 
0.002016300000832416   250 
0.004575199985993095   300 
0.013216100007412024   400 
0.010347799994633533   500 
0.059339699990232475   750 
0.038870699994731694   800 
0.0587907000008272   950 
0.06812830000126269   1000 
0.1294973000040045   1250 
0.1615994000021601   1400 
0.26871370000299066   1500 
0.27878329998929985   1650 
0.37160230000154115   1850 
0.4828298999927938   1950 
0.4215390000026673   2000 
0.6276203000015812   2400 
