Tiempo solve[s]    Tamaño 
0.4371057000098517   3 
0.0002449000021442771   7 
0.05466270000033546   10 
0.0005543000006582588   20 
0.0011699000024236739   50 
0.0015072000096552074   70 
0.001018900002236478   85 
0.0009196000028168783   100 
0.0020225999905960634   150 
0.0018774000054690987   200 
0.01478339999448508   250 
0.02683620000607334   300 
0.018382199996267445   400 
0.02362399999401532   500 
0.026211999997030944   750 
0.0165094000112731   800 
0.04205340000044089   950 
0.02678320000995882   1000 
0.04444280000461731   1250 
0.06959650000499096   1400 
0.11884759999520611   1500 
0.1253047000063816   1650 
0.23008029999618884   1850 
0.23426720000861678   1950 
0.16313509999599773   2000 
0.30262990000483114   2400 
0.6676272000040626   3300 
1.5382314000016777   4600 
1.9279171000089264   5000 
5.658297899994068   7500 
13.06807850000041   10000 
0.00034440000308677554   3 
0.0002111000067088753   7 
0.00017379999917466193   10 
0.0006818999972892925   20 
0.0003625999961514026   50 
0.0006147999956738204   70 
0.0003825000021606684   85 
0.0009649000130593777   100 
0.0016894000000320375   150 
0.0019220999965909868   200 
0.0031732000061310828   250 
0.0019152000022586435   300 
0.0029054999904474244   400 
0.008270000005722977   500 
0.015032900002552196   750 
0.022197900005267   800 
0.028236099999048747   950 
0.037498599995160475   1000 
0.04894899998907931   1250 
0.07856270000047516   1400 
0.08645760000217706   1500 
0.10414850000233855   1650 
0.16574459998810198   1850 
0.17065709999587853   1950 
0.18165439998847432   2000 
0.29624199999670964   2400 
0.6552636999986134   3300 
1.4993203000049107   4600 
1.8817375999933574   5000 
5.347852200007765   7500 
13.069682500005001   10000 
0.0002606000052765012   3 
0.0002852000034181401   7 
0.00018840000848285854   10 
0.00019920000340789557   20 
0.00029490000451914966   50 
0.0004132999893045053   70 
0.0014107999886618927   85 
0.0005332000000635162   100 
0.0006901000015204772   150 
0.0014316000015242025   200 
0.0011847999994643033   250 
0.0053918000048724934   300 
0.003360600006999448   400 
0.006162899997434579   500 
0.01599759999953676   750 
0.017810799996368587   800 
0.033437400008551776   950 
0.04255790000024717   1000 
0.055864499998278916   1250 
0.0551640000048792   1400 
0.11559010000200942   1500 
0.14979189999576192   1650 
0.23700370000733528   1850 
