Tiempo solve[s]    Tamaño 
0.002537699998356402   3 
1.5599987818859518e-05   7 
2.1799991372972727e-05   10 
2.8099995688535273e-05   20 
2.3300002794712782e-05   50 
5.029999010730535e-05   70 
6.679999933112413e-05   85 
9.90999978967011e-05   100 
7.54000066081062e-05   150 
0.00025510000705253333   200 
9.960000170394778e-05   250 
9.960000170394778e-05   300 
0.0009323000122094527   400 
0.00028639999800361693   500 
0.0018697999912546948   750 
0.0014212000096449628   800 
0.01034369999251794   950 
0.003065999990212731   1000 
0.005778099992312491   1250 
0.010887399999774061   1400 
0.004990199988242239   1500 
0.006265999996685423   1650 
0.010776800001622178   1850 
0.018507999993744306   1950 
0.013820599997416139   2000 
0.016766599990660325   2400 
0.04093419999117032   3300 
0.0715697999985423   4600 
0.09772839999641292   5000 
0.2399565999949118   7500 
0.34116340000764467   10000 
0.05454630000167526   3 
1.820000761654228e-05   7 
0.0006817999965278432   10 
2.3300002794712782e-05   20 
2.5600005756132305e-05   50 
9.26000066101551e-05   70 
3.2099997042678297e-05   85 
8.940001134760678e-05   100 
5.219999002292752e-05   150 
0.0005926000012550503   200 
0.00010859999747481197   250 
0.00011010000889655203   300 
0.0009846000029938295   400 
0.001184099994134158   500 
0.001444300010916777   750 
0.0017785999953048304   800 
0.002961399994092062   950 
0.0033441999985370785   1000 
0.004914100005407818   1250 
0.007990500002051704   1400 
0.007808999987901188   1500 
0.009574800002155825   1650 
0.014361699999426492   1850 
0.01091570001153741   1950 
0.011554400000022724   2000 
0.01812009999412112   2400 
0.0381267999910051   3300 
0.06852229998912662   4600 
0.08975260000443086   5000 
0.15861779999977443   7500 
0.3260632000019541   10000 
0.05426200000511017   3 
2.5200002710334957e-05   7 
1.5199999324977398e-05   10 
4.47999918833375e-05   20 
3.430001379456371e-05   50 
4.990000161342323e-05   70 
6.819999543949962e-05   85 
0.00012570001126732677   100 
0.0005425999988801777   150 
0.0002899999963119626   200 
0.0002021000109380111   250 
0.00030559999868273735   300 
0.0006963000050745904   400 
0.0005720000044675544   500 
0.005291800000122748   750 
0.0018666999967535958   800 
0.0024150999961420894   950 
0.0066140999988419935   1000 
0.004119699995499104   1250 
0.005979099994874559   1400 
0.00808889999461826   1500 
0.010170000008656643   1650 
0.013403399992967024   1850 
0.014560999989043921   1950 
0.012862699994002469   2000 
0.01918180000211578   2400 
0.03685550000227522   3300 
0.0690825999918161   4600 
0.10193989999243058   5000 
0.24121210000885185   7500 
0.32013300000107847   10000 
0.06779509999614675   3 
1.1100011761300266e-05   7 
1.0299991117790341e-05   10 
1.820000761654228e-05   20 
3.429999924264848e-05   50 
5.610000516753644e-05   70 
3.650000144261867e-05   85 
0.00012179999612271786   100 
0.00013479999324772507   150 
0.00043899999582208693   200 
0.00015449999773409218   250 
0.00023130000045057386   300 
0.0008604000031482428   400 
0.0013744000025326386   500 
0.0017708999948808923   750 
0.0021103000035509467   800 
0.0029381000058492646   950 
0.00283800000033807   1000 
0.0050967999995918944   1250 
0.006869600008940324   1400 
0.008726500003831461   1500 
0.009212400007527322   1650 
0.010708699992392212   1850 
0.01356770000711549   1950 
0.01318919999175705   2000 
0.01782539999112487   2400 
0.030306800006655976   3300 
0.059527899997192435   4600 
0.10393769999791402   5000 
0.17497599999478552   7500 
0.3071420000051148   10000 
0.06669870000041556   3 
1.2400007108226418e-05   7 
1.0799994925037026e-05   10 
1.3999990187585354e-05   20 
0.03513670001120772   50 
8.159999561030418e-05   70 
0.00011409999569877982   85 
0.0001120000088121742   100 
0.00021490000654011965   150 
0.0004015000013168901   200 
0.0003121999907307327   250 
0.0012962000037077814   300 
0.0006658999918727204   400 
0.0003971999976783991   500 
